	W1	W2	pred
126	without lights	at a restaurant	independent
127	Few	Asian	disjoint
128	Few	large	disjoint
129	Few	at a restaurant	independent
130	red	Asian	independent
131	red	large	independent
132	red	at a restaurant	independent
133	at red tables	Asian	independent
134	at red tables	large	independent
135	at red tables	at a restaurant	independent
136	motorcycle	seat	independent
137	motorcycle	vehicle	forwardentailment
138	motorcycle	seat of the vehicle	forwardentailment
139	seat	motorcycle	independent
140	seat	vehicle	independent
141	seat	seat of the vehicle	reverseentailment
142	black and white motorcycle	motorcycle	forwardentailment
143	black and white motorcycle	seat	independent
144	black and white motorcycle	vehicle	forwardentailment
145	black and white motorcycle	seat of the vehicle	independent
146	standing	riding	disjoint
147	tree	plant	forwardentailment
148	tree	dogs	independent
149	tree	Two dogs	disjoint
150	dogs	plant	disjoint
151	dogs	Two dogs	independent
152	Two dogs	plant	disjoint
153	Two dogs	dogs	independent
154	by a tree	by a plant	forwardentailment
155	girl	clothes	independent
156	girl	white clothes	independent
157	girl in white	girl	independent
158	girl in white	clothes	independent
159	girl in white	white clothes	independent
160	dancing	wearing	independent
161	dancing	girl	independent
162	dancing	girl in white	independent
163	girl	girl in white	independent
164	girl in white dancing	girl	independent
165	girl in white dancing	girl in white	independent
166	white dancing	girl	independent
167	white dancing	girl in white	independent
168	equipment	girl	independent
169	equipment	girl in white	independent
170	front	girl	independent
171	front	girl in white	independent
172	blond dancing girl	girl	independent
173	blond dancing girl	girl in white	independent
174	blond	white	disjoint
175	sound	white	independent
176	girl	equipment	independent
177	girl	front	independent
178	girl	sound	independent
179	girl	blond girl	independent
180	girl	sound equipment	disjoint
181	girl in white	equipment	independent
182	girl in white	front	independent
183	girl in white	sound	independent
184	girl in white	blond girl	independent
185	girl in white	sound equipment	disjoint
186	white	blond	disjoint
187	family	man	independent
188	family	kids	independent
189	family	Asian man	independent
190	family	three kids	independent
191	children	man	disjoint
192	children	kids	synonym
193	children	Asian man	disjoint
194	children	three kids	reverseentailment
195	children of a family	man	independent
196	children of a family	kids	independent
197	children of a family	Asian man	disjoint
198	children of a family	three kids	independent
199	playing	dancing	disjoint
200	playing	looking	independent
201	waiting	dancing	disjoint
202	waiting	looking	independent
203	dance	hiker	disjoint
204	dance	mountain	disjoint
205	dance	top	independent
206	dance	top of the mountain	disjoint
207	hiker	mountain	independent
208	hiker	top	independent
209	hiker	top of the mountain	independent
210	mountain	hiker	independent
211	mountain	top	independent
212	mountain	top of the mountain	independent
213	top	hiker	independent
214	top	mountain	independent
215	top	top of the mountain	reverseentailment
216	joyful dance	hiker	disjoint
217	joyful dance	mountain	disjoint
218	joyful dance	top	independent
219	joyful dance	top of the mountain	disjoint
220	top of the mountain	hiker	independent
221	top of the mountain	mountain	independent
222	top of the mountain	top	forwardentailment
223	doing	dancing	reverseentailment
224	boy	ocean	disjoint
225	boy	blue ocean	independent
226	water	boy	independent
227	water	ocean	reverseentailment
228	water	blue ocean	reverseentailment
229	standing	wading	disjoint
230	outside the water	blue	independent
231	outside the water	through the blue ocean	disjoint
232	guitar	hair	independent
233	guitar	person	disjoint
234	guitar	blonde and flyaway hair	disjoint
235	person	guitar	disjoint
236	person	hair	independent
237	person	blonde and flyaway hair	independent
238	bald person	guitar	disjoint
239	bald person	hair	disjoint
240	bald person	person	independent
241	bald person	blonde and flyaway hair	disjoint
242	playing	has	independent
243	bald	blonde	disjoint
244	bald	flyaway	disjoint
245	paint	woman	independent
246	paint	young , topless woman	disjoint
247	woman	paint	independent
248	woman	young , topless woman	independent
249	old , topless woman	paint	disjoint
250	old , topless woman	woman	independent
251	old , topless woman	young , topless woman	disjoint
252	old	topless	independent
253	old	young	disjoint
254	old	in paint	independent
255	topless	young	independent
256	topless	in paint	independent
257	in paint	topless	disjoint
258	in paint	young	independent
259	gate	crowd	independent
260	gate	water	disjoint
261	gate	people	disjoint
262	gate	crowd of people	independent
263	group	crowd	synonym
264	group	water	independent
265	group	people	independent
266	group	crowd of people	synonym
267	mother	crowd	independent
268	mother	water	independent
269	mother	people	forwardentailment
270	mother	crowd of people	independent
271	one	crowd	independent
272	one	water	independent
273	one	people	independent
274	one	crowd of people	independent
275	children	crowd	independent
276	children	water	independent
277	children	people	forwardentailment
278	children	crowd of people	independent
279	uniforms	crowd	independent
280	uniforms	water	independent
281	uniforms	people	independent
282	uniforms	crowd of people	independent
283	children in uniforms	crowd	independent
284	children in uniforms	water	independent
285	children in uniforms	people	forwardentailment
286	children in uniforms	crowd of people	independent
287	one kissing the mother	crowd	disjoint
288	one kissing the mother	water	independent
289	one kissing the mother	people	independent
290	one kissing the mother	crowd of people	disjoint
291	at a gate	near the water	independent
292	dog	grass	independent
293	dog	brown and white dog	independent
294	dog	wild grass	independent
295	grass	dog	independent
296	grass	brown and white dog	independent
297	grass	wild grass	reverseentailment
298	brown and white dog	dog	independent
299	brown and white dog	grass	independent
300	brown and white dog	wild grass	independent
301	tall grass	dog	independent
302	tall grass	grass	forwardentailment
303	tall grass	brown and white dog	independent
304	tall grass	wild grass	independent
305	running	moving	forwardentailment
306	through the tall grass	through the wild grass	independent
307	through the tall grass	brown	independent
308	through the tall grass	white	independent
309	through the tall grass	wild	independent
310	brown	through the wild grass	independent
311	brown	white	disjoint
312	brown	wild	independent
313	tall	through the wild grass	independent
314	tall	brown	independent
315	tall	white	independent
316	tall	wild	independent
317	white	through the wild grass	independent
318	white	brown	disjoint
319	white	wild	independent
320	dog	field	independent
321	dog	white and tan dog	independent
322	grass	field	independent
323	grass	white and tan dog	independent
324	tall and green grass	dog	independent
325	tall and green grass	field	independent
326	tall and green grass	white and tan dog	independent
327	white and tan dog	dog	independent
328	white and tan dog	field	independent
329	green	through a field	independent
330	green	tan	disjoint
331	green	white	disjoint
332	tall	through a field	independent
333	tall	tan	independent
334	tan	through a field	independent
335	tan	white	disjoint
336	white	through a field	independent
337	white	tan	disjoint
338	bike	man	independent
339	bike	paper	disjoint
340	bike	piece	forwardentailment
341	bike	piece paper	disjoint
342	man	bike	independent
343	man	paper	independent
344	man	piece	independent
345	man	piece paper	independent
346	note	bike	disjoint
347	note	man	independent
348	note	paper	independent
349	note	piece	forwardentailment
350	note	piece paper	independent
351	sitting	standing	disjoint
352	sitting	writing	independent
353	writing	standing	disjoint
354	near a bike	on a piece paper	independent
355	grass	group	independent
356	grass	explorers	independent
357	grass	group of explorers	independent
358	group	grass	independent
359	group	explorers	independent
360	group	group of explorers	independent
361	scouts	grass	independent
362	scouts	group	independent
363	scouts	explorers	forwardentailment
364	scouts	group of explorers	independent
365	group of scouts	grass	independent
366	group of scouts	group	forwardentailment
367	group of scouts	explorers	disjoint
368	group of scouts	group of explorers	disjoint
369	hiking	walking	forwardentailment
370	break	road	independent
371	break	side	independent
372	break	cars	independent
373	break	men	independent
374	break	Two men with cars	independent
375	break	snowy road	independent
376	road	side	independent
377	road	cars	independent
378	road	men	independent
379	road	Two men with cars	independent
380	road	snowy road	independent
381	trip	road	independent
382	trip	side	disjoint
383	trip	cars	independent
384	trip	men	independent
385	trip	Two men with cars	independent
386	trip	snowy road	independent
387	men	road	independent
388	men	side	independent
389	men	cars	independent
390	men	Two men with cars	independent
391	men	snowy road	independent
392	Two men	road	independent
393	Two men	side	independent
394	Two men	cars	independent
395	Two men	men	independent
396	Two men	Two men with cars	independent
397	Two men	snowy road	independent
398	snowy road	road	independent
399	snowy road	side	independent
400	snowy road	cars	independent
401	snowy road	men	independent
402	snowy road	Two men with cars	independent
403	on a snowy road	snowy	independent
404	from a trip	snowy	independent
405	lady	girl	reverseentailment
406	lady	waves	independent
407	lady	blond girl	independent
408	wave	girl	independent
409	wave	waves	forwardentailment
410	wave	blond girl	independent
411	riding	looking	disjoint
412	surfing	looking	independent
413	bike	riding	independent
414	bike	scarf	disjoint
415	bike	Pink	independent
416	bike	bellbottoms	disjoint
417	bike	pants	disjoint
418	bike	people	disjoint
419	bike	women	independent
420	bike	Pink bellbottoms	disjoint
421	bike	bike riding people	independent
422	bike	pink scarf	disjoint
423	bike	silver pants	independent
424	scarf	bike	disjoint
425	scarf	riding	independent
426	scarf	Pink	independent
427	scarf	bellbottoms	disjoint
428	scarf	pants	disjoint
429	scarf	people	independent
430	scarf	women	independent
431	scarf	Pink bellbottoms	disjoint
432	scarf	bike riding people	independent
433	scarf	pink scarf	reverseentailment
434	scarf	silver pants	disjoint
435	silver	bike	independent
436	silver	riding	independent
437	silver	scarf	independent
438	silver	Pink	disjoint
439	silver	bellbottoms	independent
440	silver	pants	independent
441	silver	people	independent
442	silver	women	independent
443	silver	Pink bellbottoms	disjoint
444	silver	bike riding people	independent
445	silver	pink scarf	disjoint
446	silver	silver pants	reverseentailment
447	woman	bike	disjoint
448	woman	riding	independent
449	woman	scarf	independent
450	woman	Pink	independent
451	woman	bellbottoms	independent
452	woman	pants	independent
453	woman	people	independent
454	woman	women	synonym
455	woman	Pink bellbottoms	independent
456	woman	bike riding people	independent
457	woman	pink scarf	independent
458	woman	silver pants	independent
459	bellbottoms	bike	disjoint
460	bellbottoms	riding	independent
461	bellbottoms	scarf	disjoint
462	bellbottoms	Pink	disjoint
463	bellbottoms	pants	forwardentailment
464	bellbottoms	people	independent
465	bellbottoms	women	independent
466	bellbottoms	Pink bellbottoms	reverseentailment
467	bellbottoms	bike riding people	independent
468	bellbottoms	pink scarf	independent
469	bellbottoms	silver pants	independent
470	pants	bike	disjoint
471	pants	riding	independent
472	pants	scarf	disjoint
473	pants	Pink	independent
474	pants	bellbottoms	reverseentailment
475	pants	people	disjoint
476	pants	women	independent
477	pants	Pink bellbottoms	reverseentailment
478	pants	bike riding people	independent
479	pants	pink scarf	independent
480	pants	silver pants	reverseentailment
481	pink bellbottoms	bike	disjoint
482	pink bellbottoms	riding	independent
483	pink bellbottoms	scarf	disjoint
484	pink bellbottoms	Pink	forwardentailment
485	pink bellbottoms	bellbottoms	forwardentailment
486	pink bellbottoms	pants	forwardentailment
487	pink bellbottoms	people	independent
488	pink bellbottoms	women	independent
489	pink bellbottoms	Pink bellbottoms	forwardentailment
490	pink bellbottoms	bike riding people	independent
491	pink bellbottoms	pink scarf	disjoint
492	pink bellbottoms	silver pants	disjoint
493	pink scarf	bike	disjoint
494	pink scarf	riding	independent
495	pink scarf	scarf	forwardentailment
496	pink scarf	Pink	forwardentailment
497	pink scarf	bellbottoms	disjoint
498	pink scarf	pants	disjoint
499	pink scarf	people	independent
500	pink scarf	women	independent
501	pink scarf	Pink bellbottoms	disjoint
502	pink scarf	bike riding people	independent
503	pink scarf	silver pants	disjoint
504	silver pants	bike	disjoint
505	silver pants	riding	independent
506	silver pants	scarf	independent
507	silver pants	Pink	disjoint
508	silver pants	bellbottoms	independent
509	silver pants	pants	forwardentailment
510	silver pants	people	independent
511	silver pants	women	independent
512	silver pants	Pink bellbottoms	disjoint
513	silver pants	bike riding people	independent
514	silver pants	pink scarf	disjoint
515	riding	worn	independent
516	wearing	worn	forwardentailment
517	pink	silver	disjoint
518	bike	boa	disjoint
519	bike	woman	independent
520	bike	bicycles	forwardentailment
521	bike	riders	independent
522	bike	boa wearing riders	independent
523	bike	pedestrian woman	disjoint
524	bike	pink bicycles	independent
525	scarf	boa	disjoint
526	scarf	woman	independent
527	scarf	bicycles	disjoint
528	scarf	riders	independent
529	scarf	boa wearing riders	disjoint
530	scarf	pedestrian woman	independent
531	scarf	pink bicycles	independent
532	silver	boa	independent
533	silver	woman	independent
534	silver	bicycles	independent
535	silver	riders	independent
536	silver	boa wearing riders	independent
537	silver	pedestrian woman	independent
538	silver	pink bicycles	disjoint
539	woman	boa	independent
540	woman	bicycles	independent
541	woman	riders	independent
542	woman	boa wearing riders	independent
543	woman	pedestrian woman	independent
544	woman	pink bicycles	independent
545	bellbottoms	boa	disjoint
546	bellbottoms	woman	independent
547	bellbottoms	bicycles	disjoint
548	bellbottoms	riders	disjoint
549	bellbottoms	boa wearing riders	disjoint
550	bellbottoms	pedestrian woman	disjoint
551	bellbottoms	pink bicycles	independent
552	pants	boa	disjoint
553	pants	woman	independent
554	pants	bicycles	disjoint
555	pants	riders	independent
556	pants	boa wearing riders	independent
557	pants	pedestrian woman	independent
558	pants	pink bicycles	independent
559	pink bellbottoms	boa	disjoint
560	pink bellbottoms	woman	independent
561	pink bellbottoms	bicycles	disjoint
562	pink bellbottoms	riders	independent
563	pink bellbottoms	boa wearing riders	independent
564	pink bellbottoms	pedestrian woman	independent
565	pink bellbottoms	pink bicycles	independent
566	pink scarf	boa	disjoint
567	pink scarf	woman	independent
568	pink scarf	bicycles	disjoint
569	pink scarf	riders	independent
570	pink scarf	boa wearing riders	independent
571	pink scarf	pedestrian woman	independent
572	pink scarf	pink bicycles	disjoint
573	silver pants	boa	disjoint
574	silver pants	woman	independent
575	silver pants	bicycles	disjoint
576	silver pants	riders	independent
577	silver pants	boa wearing riders	independent
578	silver pants	pedestrian woman	independent
579	silver pants	pink bicycles	disjoint
580	riding	building	disjoint
581	riding	wearing	forwardentailment
582	wearing	building	independent
583	pink	for boa wearing riders	independent
584	pink	pedestrian	independent
585	biker	black	independent
586	biker	gears	disjoint
587	biker	biker wearing black	independent
588	gear	biker	independent
589	gear	black	independent
590	gear	gears	forwardentailment
591	gear	biker wearing black	independent
592	gear which is black	biker	independent
593	gear which is black	black	independent
594	gear which is black	gears	forwardentailment
595	gear which is black	biker wearing black	independent
596	wearing	breaking	disjoint
597	cloak	dress	disjoint
598	cloak	woman	independent
599	cloak	extravagant dress	independent
600	dress	cloak	disjoint
601	dress	woman	independent
602	dress	extravagant dress	reverseentailment
603	extravagant	cloak	independent
604	extravagant	dress	independent
605	extravagant	woman	independent
606	extravagant	extravagant dress	independent
607	woman	cloak	independent
608	woman	dress	independent
609	woman	extravagant dress	independent
610	extravagant dress	cloak	disjoint
611	extravagant dress	dress	forwardentailment
612	extravagant dress	woman	independent
613	revealing	concealing	disjoint
614	revealing	putting	disjoint
615	taking	concealing	reverseentailment
616	taking	putting	disjoint
617	large	extravagant	reverseentailment
618	boy	wall	disjoint
619	boy	climbing wall	independent
620	boy	little boy	reverseentailment
621	rope	boy	independent
622	rope	wall	disjoint
623	rope	climbing wall	independent
624	rope	little boy	independent
625	wall	boy	independent
626	wall	climbing wall	reverseentailment
627	wall	little boy	independent
628	climbing	looks	independent
629	attached	climbing	independent
630	attached	looks	independent
631	built	climbing	independent
632	built	looks	independent
633	for climbing	fearful	disjoint
634	for climbing	little	independent
635	for climbing	on a climbing wall	independent
636	kid	man	disjoint
637	kid	ocean	disjoint
638	kid	pool	independent
639	kid	swimming	independent
640	kid	swimming pool	independent
641	man	kid	disjoint
642	man	ocean	independent
643	man	pool	independent
644	man	swimming	independent
645	man	swimming pool	independent
646	ocean	kid	disjoint
647	ocean	man	independent
648	ocean	pool	disjoint
649	ocean	swimming	independent
650	ocean	swimming pool	disjoint
651	pool	kid	independent
652	pool	man	independent
653	pool	ocean	disjoint
654	pool	swimming	independent
655	pool	swimming pool	synonym
656	swimming	kid	independent
657	swimming	man	independent
658	swimming	ocean	independent
659	swimming	pool	independent
660	swimming	swimming pool	independent
661	swimming pool	kid	independent
662	swimming pool	man	independent
663	swimming pool	ocean	disjoint
664	swimming pool	pool	forwardentailment
665	swimming pool	swimming	independent
666	cliff	gear	disjoint
667	cliff	person	disjoint
668	cliff	pink	independent
669	cliff	rock	forwardentailment
670	cliff	pink climbing gear	independent
671	man	gear	independent
672	man	person	forwardentailment
673	man	pink	independent
674	man	rock	disjoint
675	man	pink climbing gear	independent
676	rope	gear	forwardentailment
677	rope	person	disjoint
678	rope	pink	independent
679	rope	rock	independent
680	rope	pink climbing gear	independent
681	One man	gear	independent
682	One man	person	independent
683	One man	pink	independent
684	One man	rock	disjoint
685	One man	pink climbing gear	independent
686	climbing	roped	independent
687	person	cliff	disjoint
688	person	man	reverseentailment
689	person	rope	disjoint
690	person	One man	independent
691	rock	cliff	independent
692	rock	man	disjoint
693	rock	rope	independent
694	rock	One man	independent
695	rope	cliff	independent
696	rope	man	independent
697	rope	One man	independent
698	pink	with a rope	independent
699	dog	other	independent
700	dog	street	independent
701	dog	breeds	independent
702	dog	dogs	forwardentailment
703	dog	different breeds	independent
704	dog	dogs of different breeds	independent
705	dog	other across a street	independent
706	street	other	disjoint
707	street	breeds	independent
708	street	dogs	independent
709	street	different breeds	independent
710	street	dogs of different breeds	independent
711	street	other across a street	independent
712	One white dog	other	independent
713	One white dog	street	independent
714	One white dog	breeds	independent
715	One white dog	dogs	independent
716	One white dog	different breeds	independent
717	One white dog	dogs of different breeds	independent
718	One white dog	other across a street	independent
719	black street	other	independent
720	black street	street	forwardentailment
721	black street	breeds	independent
722	black street	dogs	independent
723	black street	different breeds	disjoint
724	black street	dogs of different breeds	independent
725	black street	other across a street	independent
726	staring	looking	forwardentailment
727	black	different	independent
728	white	different	independent
729	at the black street	different	independent
730	basket	bucket	synonym
731	basket	dog	disjoint
732	basket	pine	disjoint
733	basket	tree	disjoint
734	dog	bucket	disjoint
735	dog	pine	disjoint
736	dog	tree	disjoint
737	mouth	bucket	disjoint
738	mouth	dog	independent
739	mouth	pine	independent
740	mouth	tree	independent
741	yard	bucket	independent
742	yard	dog	independent
743	yard	pine	independent
744	yard	tree	independent
745	back yard	bucket	independent
746	back yard	dog	independent
747	back yard	pine	independent
748	back yard	tree	independent
749	carrying	biting	independent
750	competition	indoors	independent
751	competition	men	independent
752	competition	men in a competition	independent
753	men	competition	independent
754	men	indoors	independent
755	men	men in a competition	independent
756	men in a competition	competition	forwardentailment
757	men in a competition	indoors	independent
758	men in a competition	men	forwardentailment
759	competition	competitions	synonym
760	competition	few men	independent
761	men	competitions	independent
762	men	few men	independent
763	men in a competition	competitions	forwardentailment
764	men in a competition	few men	independent
765	few	are running competitions outside	independent
766	kid	boy	independent
767	kid	hat	independent
768	kid	hill	disjoint
769	kid	jacket	independent
770	kid	snow	disjoint
771	kid	knees	independent
772	kid	black hat	independent
773	kid	hill covered in snow	disjoint
774	kid	red jacket	independent
775	snow	boy	independent
776	snow	hat	independent
777	snow	hill	independent
778	snow	jacket	independent
779	snow	knees	independent
780	snow	black hat	independent
781	snow	hill covered in snow	independent
782	snow	red jacket	independent
783	sliding	wearing	independent
784	sliding	covered	independent
785	in the snow	black	independent
786	in the snow	red	independent
787	in the snow	in snow	synonym
788	in the snow	on his knees	independent
789	dog	stump	disjoint
790	dog	woman	disjoint
791	dog	tree stump	disjoint
792	woman	dog	disjoint
793	woman	stump	disjoint
794	woman	tree	disjoint
795	woman	tree stump	disjoint
796	white dog	dog	independent
797	white dog	stump	disjoint
798	white dog	tree	independent
799	white dog	woman	disjoint
800	white dog	tree stump	disjoint
801	old	on a tree stump	independent
802	white	on a tree stump	independent
803	near a white dog	on a tree stump	independent
804	gear	group	independent
805	gear	protection	forwardentailment
806	gear	people	disjoint
807	gear	gear used for protection	independent
808	gear	group of people	independent
809	group	gear	independent
810	group	protection	independent
811	group	gear used for protection	independent
812	group	group of people	independent
813	people	gear	disjoint
814	people	protection	independent
815	people	gear used for protection	independent
816	people	group of people	synonym
817	group of people	gear	independent
818	group of people	group	independent
819	group of people	protection	independent
820	group of people	people	synonym
821	group of people	gear used for protection	independent
822	protective gear	gear	forwardentailment
823	protective gear	group	independent
824	protective gear	protection	forwardentailment
825	protective gear	people	independent
826	protective gear	gear used for protection	synonym
827	protective gear	group of people	independent
828	equipped	used	disjoint
829	protective	for protection	synonym
830	with protective gear	for protection	independent
831	dog	coat	independent
832	dog	black coat	independent
833	dog	white dog	independent
834	grass	coat	disjoint
835	grass	black coat	independent
836	grass	white dog	independent
837	side	coat	independent
838	side	dog	independent
839	side	grass	independent
840	side	black coat	independent
841	side	white dog	independent
842	One white dog	coat	independent
843	One white dog	dog	independent
844	One white dog	grass	independent
845	One white dog	black coat	disjoint
846	One white dog	white dog	forwardentailment
847	one black one	coat	independent
848	one black one	dog	independent
849	one black one	grass	independent
850	one black one	black coat	independent
851	one black one	white dog	disjoint
852	side on the grass	coat	independent
853	side on the grass	dog	independent
854	side on the grass	grass	independent
855	side on the grass	black coat	independent
856	side on the grass	white dog	independent
857	running	has	independent
858	black	white	disjoint
859	black	on the grass	independent
860	white	black	disjoint
861	white	on the grass	independent
862	ice	rink	independent
863	ice	outdoors	disjoint
864	ice	people	disjoint
865	ice	rink placed outdoors	independent
866	lot	ice	independent
867	lot	rink	independent
868	lot	outdoors	independent
869	lot	people	independent
870	lot	rink placed outdoors	independent
871	park	ice	disjoint
872	park	rink	disjoint
873	park	outdoors	forwardentailment
874	park	people	independent
875	park	rink placed outdoors	independent
876	skating	ice	independent
877	skating	rink	independent
878	skating	outdoors	independent
879	skating	people	disjoint
880	skating	rink placed outdoors	independent
881	people	ice	disjoint
882	people	rink	independent
883	people	outdoors	independent
884	people	rink placed outdoors	independent
885	ice skating park	ice	forwardentailment
886	ice skating park	rink	independent
887	ice skating park	outdoors	forwardentailment
888	ice skating park	people	disjoint
889	ice skating park	rink placed outdoors	independent
890	lot of people	ice	independent
891	lot of people	rink	independent
892	lot of people	outdoors	independent
893	lot of people	people	independent
894	lot of people	rink placed outdoors	independent
895	girl	man	independent
896	girl	uniform	independent
897	girl	blue and white uniform	independent
898	uniform	girl	independent
899	uniform	man	independent
900	uniform	blue and white uniform	reverseentailment
901	blue and white uniform	girl	independent
902	blue and white uniform	man	independent
903	blue and white uniform	uniform	forwardentailment
904	blue	white	disjoint
905	white	blue	disjoint
906	man	woman	disjoint
907	woman	man	disjoint
908	being	kissed	independent
909	kissed	being	independent
910	bubble	girl	independent
911	bubble	bubble that is huge	independent
912	bubble	young girl	independent
913	girl	bubble	independent
914	girl	bubble that is huge	independent
915	girl	young girl	independent
916	shirt	bubble	disjoint
917	shirt	girl	independent
918	shirt	bubble that is huge	disjoint
919	shirt	young girl	independent
920	red shirt	bubble	independent
921	red shirt	girl	independent
922	red shirt	bubble that is huge	disjoint
923	red shirt	young girl	independent
924	red	huge	independent
925	red	young	independent
926	wagon	corndogs	disjoint
927	wagon	toddlers	independent
928	wagon	Two toddlers	independent
929	corndogs	wagon	disjoint
930	corndogs	toddlers	disjoint
931	corndogs	Two toddlers	disjoint
932	toddlers	wagon	independent
933	toddlers	corndogs	disjoint
934	toddlers	Two toddlers	independent
935	being	eating	disjoint
936	eaten	eating	synonym
937	horse	color	independent
938	horse	cowboy	independent
939	horse	pants	disjoint
940	horse	blue and red color	independent
941	man	color	independent
942	man	cowboy	independent
943	man	horse	disjoint
944	man	pants	independent
945	man	blue and red color	independent
946	track	color	independent
947	track	cowboy	independent
948	track	horse	independent
949	track	pants	disjoint
950	track	blue and red color	independent
951	wild	color	independent
952	wild	cowboy	disjoint
953	wild	horse	independent
954	wild	pants	independent
955	wild	blue and red color	independent
956	getting	tossing	disjoint
957	getting	wearing	disjoint
958	laid	tossing	disjoint
959	laid	wearing	disjoint
960	in the wild	blue	independent
961	in the wild	red	independent
962	on a horse	blue	independent
963	on a horse	red	independent
964	adult	amphitheater	independent
965	adult	boy	disjoint
966	amphitheater	adult	disjoint
967	amphitheater	boy	independent
968	boy	adult	disjoint
969	boy	amphitheater	independent
970	talk	adult	independent
971	talk	amphitheater	disjoint
972	talk	boy	independent
973	given	talking	independent
974	snow	air	disjoint
975	snow	person	independent
976	snow	jumps	independent
977	snow	snowboarding jumps	independent
978	snowboarder	air	disjoint
979	snowboarder	person	forwardentailment
980	snowboarder	jumps	independent
981	snowboarder	snowboarding jumps	independent
982	white snow	air	independent
983	white snow	person	independent
984	white snow	jumps	independent
985	white snow	snowboarding jumps	independent
986	leaping	practicing	independent
987	leaping	snowboarding	independent
988	over white snow	into the air	independent
989	white	into the air	independent
990	horse	man	disjoint
991	horse	package	disjoint
992	horse	headphones	disjoint
993	horse	package that contains headphones	disjoint
994	woman	package	independent
995	woman	headphones	independent
996	woman	package that contains headphones	independent
997	riding	opening	disjoint
998	riding	contains	disjoint
999	fish	turtle	independent
1000	sea	fish	independent
1001	sea	turtle	independent
1002	turtle	fish	disjoint
1003	turtle in the sea	fish	disjoint
1004	turtle in the sea	turtle	forwardentailment
1005	hunting	following	disjoint
1006	potato	carrot	disjoint
1007	potato	woman	independent
1008	woman	carrot	independent
1009	being	slicing	independent
1010	sliced	slicing	synonym
1011	hair	woman	independent
1012	woman	hair	independent
1013	combing	arranging	forwardentailment
1014	hair	her hair	reverseentailment
