	W1	W2	pred
269	man with a jersey	dunks	independent
270	dunking	playing	forwardentailment
271	at a basketball game	in background	independent
272	background	ball	independent
273	background	basketball	independent
274	background	game	independent
275	background	jersey	independent
276	background	basketball game	independent
277	background	man with a jersey	independent
278	crowd	ball	disjoint
279	crowd	basketball	independent
280	crowd	game	independent
281	crowd	jersey	independent
282	crowd	man	independent
283	crowd	basketball game	independent
284	crowd	man with a jersey	independent
285	net	ball	disjoint
286	net	basketball	disjoint
287	net	game	disjoint
288	net	jersey	independent
289	net	man	independent
290	net	basketball game	independent
291	net	man with a jersey	independent
292	player	ball	independent
293	player	basketball	independent
294	player	game	independent
295	player	jersey	independent
296	player	man	independent
297	player	basketball game	independent
298	player	man with a jersey	independent
299	in background	at a basketball game	independent
300	into the net	at a basketball game	independent
301	people	spectators	reverseentailment
302	people	Two people	independent
303	spectators	people	forwardentailment
304	spectators	Two people	independent
305	Two people	people	independent
306	Two people	spectators	independent
307	kickboxing	watching	disjoint
308	watching	kickboxing	disjoint
309	fight	kickboxing	independent
310	fight	match	forwardentailment
311	fight	women	independent
312	fight	Two women	independent
313	fight	kickboxing match	reverseentailment
314	kickboxing	match	independent
315	kickboxing	women	independent
316	kickboxing	Two women	independent
317	kickboxing	kickboxing match	reverseentailment
318	women	kickboxing	independent
319	women	match	independent
320	women	Two women	independent
321	women	kickboxing match	independent
322	Two young women	kickboxing	independent
323	Two young women	match	independent
324	Two young women	women	independent
325	Two young women	Two women	forwardentailment
326	Two young women	kickboxing match	independent
327	kickboxing fight	kickboxing	forwardentailment
328	kickboxing fight	match	forwardentailment
329	kickboxing fight	women	independent
330	kickboxing fight	Two women	independent
331	kickboxing fight	kickboxing match	forwardentailment
332	in a kickboxing fight	in a kickboxing match	forwardentailment
333	young	in a kickboxing match	independent
334	people	fight	independent
335	people	kickboxing	independent
336	people	women	reverseentailment
337	people	Two young women	independent
338	people	kickboxing fight	independent
339	spectators	fight	independent
340	spectators	kickboxing	independent
341	spectators	women	independent
342	spectators	Two young women	independent
343	spectators	kickboxing fight	disjoint
344	Two people	fight	independent
345	Two people	kickboxing	independent
346	Two people	women	independent
347	Two people	Two young women	reverseentailment
348	Two people	kickboxing fight	independent
349	kickboxing	sparring	independent
350	watching	sparring	disjoint
351	kickboxing	people	independent
352	kickboxing	spectators	independent
353	kickboxing	Two people	independent
354	match	people	disjoint
355	match	spectators	independent
356	match	Two people	independent
357	women	people	forwardentailment
358	women	spectators	independent
359	women	Two people	independent
360	Two women	people	forwardentailment
361	Two women	spectators	independent
362	Two women	Two people	forwardentailment
363	kickboxing match	people	disjoint
364	kickboxing match	spectators	independent
365	kickboxing match	Two people	independent
366	sparring	kickboxing	independent
367	sparring	watching	disjoint
368	boys	leaves	independent
369	boys	Three kids	independent
370	leaves	kids	independent
371	leaves	Three kids	independent
372	Three boys	kids	independent
373	Three boys	leaves	independent
374	Three boys	Three kids	forwardentailment
375	kids	leaves	independent
376	kids	Three kids	independent
377	Three kids	kids	independent
378	Three kids	leaves	independent
379	sitting	jumping	disjoint
380	Children	kids	synonym
381	Children	leaves	independent
382	Children	Three kids	reverseentailment
383	shirts	kids	independent
384	shirts	leaves	disjoint
385	shirts	Three kids	independent
386	Children in red shirts	kids	forwardentailment
387	Children in red shirts	leaves	independent
388	Children in red shirts	Three kids	independent
389	red shirts	kids	independent
390	red shirts	leaves	independent
391	red shirts	Three kids	independent
392	playing	sitting	disjoint
393	red	in the leaves	independent
394	playing	jumping	independent
395	snow	angels	independent
396	snow	children	independent
397	snow	Two children	independent
398	snow	snow angels	disjoint
399	angels	snow	independent
400	angels	children	disjoint
401	angels	Two children	disjoint
402	angels	snow angels	reverseentailment
403	children	snow	independent
404	children	angels	disjoint
405	children	Two children	independent
406	children	snow angels	independent
407	Two angels	snow	disjoint
408	Two angels	angels	independent
409	Two angels	children	disjoint
410	Two angels	Two children	disjoint
411	Two angels	snow angels	independent
412	lying children	snow	independent
413	lying children	angels	disjoint
414	lying children	children	forwardentailment
415	lying children	Two children	independent
416	lying children	snow angels	disjoint
417	lying	making	disjoint
418	making	lying	disjoint
419	snow	people	disjoint
420	snow	snowsuits	independent
421	snow	Two people in snowsuits	independent
422	angels	people	forwardentailment
423	angels	snowsuits	disjoint
424	angels	Two people in snowsuits	independent
425	children	people	forwardentailment
426	children	snowsuits	independent
427	children	Two people in snowsuits	independent
428	Two children	snow	independent
429	Two children	angels	disjoint
430	Two children	people	forwardentailment
431	Two children	snowsuits	independent
432	Two children	Two people in snowsuits	independent
433	Two children	snow angels	disjoint
434	drawing	lying	disjoint
435	drawing	making	forwardentailment
436	snow	Two angels	disjoint
437	snow	lying children	independent
438	angels	Two angels	independent
439	angels	lying children	disjoint
440	people	snow	disjoint
441	people	angels	reverseentailment
442	people	children	reverseentailment
443	people	Two angels	independent
444	people	lying children	independent
445	snowsuits	snow	independent
446	snowsuits	angels	disjoint
447	snowsuits	children	independent
448	snowsuits	Two angels	disjoint
449	snowsuits	lying children	disjoint
450	Two people in snowsuits	snow	independent
451	Two people in snowsuits	angels	disjoint
452	Two people in snowsuits	children	independent
453	Two people in snowsuits	Two angels	disjoint
454	Two people in snowsuits	lying children	disjoint
455	snow angels	snow	independent
456	snow angels	angels	independent
457	snow angels	children	independent
458	snow angels	Two angels	independent
459	snow angels	lying children	disjoint
460	snow angels	people	disjoint
461	snow angels	snowsuits	disjoint
462	snow angels	Two people in snowsuits	independent
463	direction	forest	independent
464	direction	people	independent
465	direction	Masked people	independent
466	direction	direction in a forest	independent
467	forest	direction	independent
468	forest	people	disjoint
469	forest	Masked people	independent
470	forest	direction in a forest	independent
471	People	direction	disjoint
472	People	forest	disjoint
473	People	people	synonym
474	People	Masked people	reverseentailment
475	People	direction in a forest	independent
476	costumes	direction	independent
477	costumes	forest	disjoint
478	costumes	people	independent
479	costumes	Masked people	independent
480	costumes	direction in a forest	independent
481	People wearing costumes	direction	disjoint
482	People wearing costumes	forest	disjoint
483	People wearing costumes	people	independent
484	People wearing costumes	Masked people	independent
485	People wearing costumes	direction in a forest	independent
486	same direction	direction	forwardentailment
487	same direction	forest	independent
488	same direction	people	independent
489	same direction	Masked people	independent
490	same direction	direction in a forest	independent
491	gathering	looking	independent
492	gathering	Masked	independent
493	looking	Masked	independent
494	wearing	looking	disjoint
495	wearing	Masked	reverseentailment
496	in a forest	same	disjoint
497	in the same direction	same	independent
498	direction	People	disjoint
499	direction	costumes	independent
500	direction	directions	synonym
501	direction	People wearing costumes	independent
502	direction	different directions	reverseentailment
503	forest	People	disjoint
504	forest	costumes	independent
505	forest	directions	independent
506	forest	People wearing costumes	disjoint
507	forest	different directions	disjoint
508	People	costumes	independent
509	People	directions	disjoint
510	People	People wearing costumes	independent
511	People	different directions	disjoint
512	costumes	People	independent
513	costumes	directions	independent
514	costumes	People wearing costumes	independent
515	costumes	different directions	independent
516	People wearing costumes	People	independent
517	People wearing costumes	costumes	independent
518	People wearing costumes	directions	disjoint
519	People wearing costumes	different directions	disjoint
520	same direction	People	independent
521	same direction	costumes	independent
522	same direction	directions	forwardentailment
523	same direction	People wearing costumes	independent
524	same direction	different directions	disjoint
525	gathering	scattering	disjoint
526	gathering	wearing	independent
527	looking	scattering	independent
528	looking	wearing	independent
529	wearing	scattering	disjoint
530	in a forest	different	independent
531	in a forest	in different directions	independent
532	same	different	disjoint
533	same	in a forest	independent
534	same	in different directions	disjoint
535	in the same direction	different	disjoint
536	in the same direction	in a forest	independent
537	in the same direction	in different directions	disjoint
538	forest	same direction	independent
539	vicinity	direction	forwardentailment
540	vicinity	forest	reverseentailment
541	vicinity	People	disjoint
542	vicinity	costumes	independent
543	vicinity	People wearing costumes	independent
544	vicinity	same direction	disjoint
545	People	same direction	independent
546	costumes	same direction	independent
547	vicinity of the forest	direction	independent
548	vicinity of the forest	forest	independent
549	vicinity of the forest	People	disjoint
550	vicinity of the forest	costumes	independent
551	vicinity of the forest	People wearing costumes	independent
552	vicinity of the forest	same direction	independent
553	gathered	gathering	synonym
554	gathered	looking	independent
555	gathered	wearing	independent
556	looking	gathering	independent
557	costume	forest	disjoint
558	costume	People	disjoint
559	costume	costumes	forwardentailment
560	costume	directions	independent
561	costume	People wearing costumes	independent
562	costume	different directions	independent
563	girl	forest	independent
564	girl	People	independent
565	girl	costumes	independent
566	girl	directions	independent
567	girl	People wearing costumes	independent
568	girl	different directions	independent
569	woman	forest	independent
570	woman	People	forwardentailment
571	woman	costumes	independent
572	woman	directions	independent
573	woman	People wearing costumes	independent
574	woman	different directions	independent
575	little girl	forest	independent
576	little girl	People	independent
577	little girl	costumes	independent
578	little girl	directions	independent
579	little girl	People wearing costumes	independent
580	little girl	different directions	independent
581	woman in costume	forest	independent
582	woman in costume	People	independent
583	woman in costume	costumes	independent
584	woman in costume	directions	independent
585	woman in costume	People wearing costumes	forwardentailment
586	woman in costume	different directions	independent
587	little	different	independent
588	little	in a forest	independent
589	little	in different directions	independent
590	costume	vicinity	independent
591	costume	vicinity of the forest	disjoint
592	girl	vicinity	independent
593	girl	vicinity of the forest	independent
594	woman	vicinity	independent
595	woman	vicinity of the forest	independent
596	little girl	vicinity	independent
597	little girl	vicinity of the forest	independent
598	woman in costume	vicinity	independent
599	woman in costume	vicinity of the forest	independent
600	looking	gathered	independent
601	costume	direction	independent
602	costume	same direction	independent
603	girl	direction	independent
604	girl	same direction	independent
605	woman	direction	independent
606	woman	same direction	independent
607	woman in costume	direction	independent
608	woman in costume	same direction	independent
609	young girl	direction	independent
610	young girl	forest	independent
611	young girl	People	independent
612	young girl	costumes	independent
613	young girl	People wearing costumes	independent
614	young girl	same direction	independent
615	young	in a forest	independent
616	young	same	independent
617	young	in the same direction	independent
618	direction	costume	independent
619	direction	girl	independent
620	direction	man	independent
621	direction	little girl	independent
622	direction	man in costume	independent
623	forest	costume	independent
624	forest	girl	independent
625	forest	man	independent
626	forest	little girl	independent
627	forest	man in costume	disjoint
628	People	costume	disjoint
629	People	girl	independent
630	People	man	reverseentailment
631	People	little girl	independent
632	People	man in costume	independent
633	costumes	costume	forwardentailment
634	costumes	girl	independent
635	costumes	man	independent
636	costumes	little girl	independent
637	costumes	man in costume	reverseentailment
638	People wearing costumes	costume	independent
639	People wearing costumes	girl	independent
640	People wearing costumes	man	independent
641	People wearing costumes	little girl	independent
642	People wearing costumes	man in costume	independent
643	same direction	costume	independent
644	same direction	girl	independent
645	same direction	man	independent
646	same direction	little girl	independent
647	same direction	man in costume	independent
648	in a forest	little	independent
649	same	little	independent
650	in the same direction	little	independent
651	direction	woman	independent
652	direction	girl in costume	independent
653	direction	little girl in costume	independent
654	forest	woman	independent
655	forest	girl in costume	disjoint
656	forest	little girl in costume	disjoint
657	People	woman	reverseentailment
658	People	girl in costume	independent
659	People	little girl in costume	independent
660	costumes	woman	independent
661	costumes	girl in costume	reverseentailment
662	costumes	little girl in costume	independent
663	People wearing costumes	woman	independent
664	People wearing costumes	girl in costume	independent
665	People wearing costumes	little girl in costume	independent
666	same direction	woman	independent
667	same direction	girl in costume	independent
668	same direction	little girl in costume	independent
669	gathering	looks	independent
670	looking	looks	synonym
671	wearing	looks	independent
672	in a forest	like a woman	independent
673	same	like a woman	independent
674	in the same direction	like a woman	independent
675	air	biker	independent
676	biker	air	disjoint
677	lone biker	air	independent
678	lone biker	biker	forwardentailment
679	lone	in the air	independent
680	air	lone biker	independent
681	biker	lone biker	reverseentailment
682	in the air	lone	independent
683	man	pool	independent
684	man	full pool	independent
685	pool	man	independent
686	pool	full pool	reverseentailment
687	empty pool	man	independent
688	empty pool	pool	forwardentailment
689	empty pool	full pool	disjoint
690	empty	full	disjoint
691	empty	into a full pool	independent
692	into an empty pool	full	disjoint
693	into an empty pool	into a full pool	disjoint
694	man	jumper	independent
695	man	empty pool	disjoint
696	pool	jumper	independent
697	pool	empty pool	reverseentailment
698	empty pool	jumper	disjoint
699	empty	in the empty pool	independent
700	into an empty pool	empty	independent
701	into an empty pool	in the empty pool	synonym
702	air	man	independent
703	air	pool	independent
704	air	full pool	independent
705	biker	man	independent
706	biker	pool	disjoint
707	biker	full pool	disjoint
708	lone biker	man	independent
709	lone biker	pool	disjoint
710	lone biker	full pool	disjoint
711	lone	full	disjoint
712	lone	into a full pool	disjoint
713	in the air	full	independent
714	in the air	into a full pool	independent
715	jumper	air	independent
716	jumper	biker	disjoint
717	jumper	lone biker	disjoint
718	man	air	independent
719	man	biker	independent
720	man	lone biker	independent
721	pool	air	independent
722	pool	biker	disjoint
723	pool	lone biker	disjoint
724	empty pool	air	disjoint
725	empty pool	biker	disjoint
726	empty pool	lone biker	disjoint
727	empty	lone	synonym
728	empty	in the air	independent
729	in the empty pool	lone	independent
730	in the empty pool	in the air	independent
731	air	empty pool	independent
732	biker	empty pool	disjoint
733	lone biker	empty pool	disjoint
734	lone	empty	synonym
735	lone	into an empty pool	independent
736	in the air	empty	independent
737	in the air	into an empty pool	independent
738	park	backbends	disjoint
739	park	children	independent
740	park	Four children	independent
741	backbends	park	independent
742	backbends	children	independent
743	backbends	Four children	independent
744	kids	park	independent
745	kids	backbends	disjoint
746	kids	children	synonym
747	kids	Four children	independent
748	Four kids	park	independent
749	Four kids	backbends	disjoint
750	Four kids	children	forwardentailment
751	Four kids	Four children	forwardentailment
752	gym	park	disjoint
753	gym	backbends	independent
754	gym	children	independent
755	gym	Four children	independent
756	children	park	independent
757	children	backbends	disjoint
758	children	Four children	independent
759	Four children	park	independent
760	Four children	backbends	disjoint
761	Four children	children	forwardentailment
762	in the gym	in the park	disjoint
763	garden	backbends	disjoint
764	garden	girls	independent
765	garden	outdoors	forwardentailment
766	garden	Four girls	independent
767	playing	backbends	disjoint
768	playing	girls	independent
769	playing	outdoors	independent
770	playing	Four girls	independent
771	backbends	girls	independent
772	backbends	outdoors	disjoint
773	backbends	Four girls	independent
774	girls	backbends	independent
775	girls	outdoors	independent
776	girls	Four girls	independent
777	Four girls	backbends	independent
778	Four girls	girls	independent
779	Four girls	outdoors	independent
780	backbends and playing	backbends	forwardentailment
781	backbends and playing	girls	independent
782	backbends and playing	outdoors	independent
783	backbends and playing	Four girls	independent
784	doing	playing	reverseentailment
785	ball	player	independent
786	man	player	independent
787	hands	ball	disjoint
788	hands	player	independent
789	man who is playing	ball	independent
790	man who is playing	player	independent
791	playing	running	independent
792	in his hands	with the ball	independent
793	football	ball	forwardentailment
794	football	player	independent
795	groups	ball	independent
796	groups	player	independent
797	people	ball	disjoint
798	people	player	reverseentailment
799	Two groups of people	ball	independent
800	Two groups of people	player	independent
801	groups of people	ball	independent
802	groups of people	player	independent
803	baseball	ball	forwardentailment
804	baseball	player	independent
805	game	player	independent
806	teams	ball	disjoint
807	teams	player	independent
808	Two teams	ball	independent
809	Two teams	player	independent
810	baseball game	ball	independent
811	baseball game	player	independent
812	competing	running	independent
813	in a baseball game	with the ball	independent
814	ball	football	reverseentailment
815	ball	match	independent
816	ball	teams	independent
817	ball	Two teams	independent
818	ball	football match	independent
819	player	football	independent
820	player	match	independent
821	player	teams	independent
822	player	Two teams	independent
823	player	football match	independent
824	running	competing	independent
825	with the ball	in a football match	independent
826	child	front	independent
827	child	hut	disjoint
828	child	children	synonym
829	child	Five children	independent
830	child	wooden hut	disjoint
831	front	hut	independent
832	front	children	independent
833	front	Five children	independent
834	front	wooden hut	independent
835	hut	front	independent
836	hut	children	independent
837	hut	Five children	independent
838	hut	wooden hut	reverseentailment
839	stands	front	independent
840	stands	hut	disjoint
841	stands	children	independent
842	stands	Five children	independent
843	stands	wooden hut	independent
844	Five wooden stands	front	independent
845	Five wooden stands	hut	independent
846	Five wooden stands	children	independent
847	Five wooden stands	Five children	independent
848	Five wooden stands	wooden hut	independent
849	gun	none	disjoint
850	gun	kids	independent
851	gun	Five kids	disjoint
852	gun	none of the kids	independent
853	kid	gun	independent
854	kid	none	disjoint
855	kid	kids	forwardentailment
856	kid	Five kids	independent
857	kid	none of the kids	disjoint
858	kids	gun	disjoint
859	kids	none	independent
860	kids	Five kids	independent
861	kids	none of the kids	disjoint
862	Five kids	gun	disjoint
863	Five kids	none	disjoint
864	Five kids	kids	forwardentailment
865	Five kids	none of the kids	disjoint
866	one kid	gun	independent
867	one kid	none	disjoint
868	one kid	kids	independent
869	one kid	Five kids	disjoint
870	one kid	none of the kids	disjoint
871	standing	has	independent
872	has	standing	independent
873	gun	front	independent
874	gun	hut	independent
875	gun	children	independent
876	gun	Five children	independent
877	gun	wooden hut	independent
878	none	front	disjoint
879	none	hut	independent
880	none	children	disjoint
881	none	Five children	disjoint
882	none	wooden hut	independent
883	kids	front	independent
884	kids	hut	independent
885	kids	Five children	reverseentailment
886	kids	wooden hut	independent
887	Five kids	front	independent
888	Five kids	hut	independent
889	Five kids	children	forwardentailment
890	Five kids	Five children	forwardentailment
891	Five kids	wooden hut	independent
892	none of the kids	front	independent
893	none of the kids	hut	independent
894	none of the kids	children	independent
895	none of the kids	Five children	disjoint
896	none of the kids	wooden hut	independent
897	hut	gun	disjoint
898	hut	kid	independent
899	hut	kids	independent
900	hut	Five kids	independent
901	hut	one kid	independent
902	children	gun	disjoint
903	children	kid	synonym
904	children	Five kids	independent
905	children	one kid	independent
906	Five children	gun	disjoint
907	Five children	kid	forwardentailment
908	Five children	kids	forwardentailment
909	Five children	Five kids	forwardentailment
910	Five children	one kid	disjoint
911	wooden hut	gun	disjoint
912	wooden hut	kid	independent
913	wooden hut	kids	independent
914	wooden hut	Five kids	independent
915	wooden hut	one kid	independent
916	child	gun	disjoint
917	child	kid	synonym
918	child	kids	forwardentailment
919	child	Five kids	independent
920	child	one kid	independent
921	front	gun	independent
922	front	kid	independent
923	front	kids	independent
924	front	Five kids	independent
925	front	one kid	independent
926	stands	gun	independent
927	stands	kid	independent
928	stands	kids	independent
929	stands	Five kids	independent
930	stands	one kid	independent
931	Five wooden stands	gun	disjoint
932	Five wooden stands	kid	independent
933	Five wooden stands	kids	independent
934	Five wooden stands	Five kids	independent
935	Five wooden stands	one kid	disjoint
936	field	man	independent
937	man	field	independent
938	old man	field	independent
939	old	in a field	independent
940	sitting	running	disjoint
941	grass	field	independent
942	grass	hat	disjoint
943	grass	person	disjoint
944	hat	field	independent
945	hat	person	disjoint
946	person	field	disjoint
947	person	hat	independent
948	sitting	wearing	disjoint
949	wearing	sitting	independent
950	on the grass	in a field	independent
951	hat	grass	disjoint
952	person	grass	disjoint
953	grass hat	grass	independent
954	grass hat	hat	forwardentailment
955	grass hat	person	disjoint
956	grass	man	independent
957	hat	man	independent
958	grass hat	field	independent
959	grass hat	man	independent
960	field	grass	independent
961	field	hat	independent
962	field	person	disjoint
963	man	grass	independent
964	man	hat	independent
965	man	person	forwardentailment
966	in a field	on the grass	independent
967	group	raft	independent
968	group	friends	independent
969	group	group of friends	independent
970	raft	group	independent
971	raft	friends	independent
972	raft	group of friends	independent
973	friends	group	independent
974	friends	raft	independent
975	friends	group of friends	synonym
976	group of friends	group	independent
977	group of friends	raft	independent
978	group of friends	friends	forwardentailment
979	being	riding	independent
980	ridden	riding	synonym
981	in a raft	current	disjoint
982	current	in a raft	independent
983	group	safety	independent
984	group	water	independent
985	group	people	independent
986	group	preservers	independent
987	group	group of people	independent
988	group	water safety	independent
989	raft	safety	independent
990	raft	water	independent
991	raft	people	independent
992	raft	preservers	independent
993	raft	group of people	independent
994	raft	water safety	independent
995	friends	safety	independent
996	friends	water	independent
997	friends	people	forwardentailment
998	friends	preservers	independent
999	friends	group of people	forwardentailment
1000	friends	water safety	independent
1001	group of friends	safety	independent
1002	group of friends	water	independent
1003	group of friends	people	forwardentailment
1004	group of friends	preservers	independent
1005	group of friends	group of people	forwardentailment
1006	group of friends	water safety	independent
1007	being	practicing	independent
1008	being	wearing	disjoint
1009	ridden	practicing	independent
1010	ridden	wearing	forwardentailment
1011	riding	practicing	disjoint
1012	riding	wearing	forwardentailment
1013	deer	fence	disjoint
1014	fence	deer	independent
1015	building	People	disjoint
1016	building	murals	independent
1017	building	many murals on it	independent
1018	building	murals on it	independent
1019	People	building	disjoint
1020	People	murals	disjoint
1021	People	many murals on it	disjoint
1022	People	murals on it	disjoint
1023	murals	building	independent
1024	murals	People	disjoint
1025	murals	many murals on it	reverseentailment
1026	murals	murals on it	synonym
1027	many murals on it	building	independent
1028	many murals on it	People	disjoint
1029	many murals on it	murals	independent
1030	many murals on it	murals on it	independent
1031	murals on it	building	independent
1032	murals on it	People	disjoint
1033	murals on it	murals	forwardentailment
1034	murals on it	many murals on it	reverseentailment
1035	walking	has	independent
1036	has	walking	independent
1037	building	front	independent
1038	building	colorful building	independent
1039	front	building	independent
1040	front	colorful building	independent
1041	people	building	disjoint
1042	people	front	independent
1043	people	colorful building	independent
1044	Several people	building	independent
1045	Several people	front	independent
1046	Several people	colorful building	independent
1047	colorful building	building	independent
1048	colorful building	front	independent
1049	Several	colorful	independent
1050	People	front	independent
