CombID	label	meta	preds	pred
11	reverseentailment	org	[-0.6083852052688599, 4.788494110107422, -3.195577383041382, 5.4282684326171875, -1.0934081077575684, -3.9001142978668213, -2.8367016315460205, 3.23362135887146, -0.10346712172031403, -2.39532208442688, 0.41136813163757324, 2.349700927734375, -2.123706579208374, 5.965595245361328, -2.6219565868377686, 5.578939437866211, -1.546022891998291, -3.6289095878601074, -1.253535270690918, 5.502009391784668, -3.0708730220794678, 5.468666076660156, -2.303407907485962, -2.9475533962249756, 0.6268521547317505, 4.381915092468262, -3.9835243225097656, 4.996670722961426, -0.9917349815368652, -3.725898265838623, -1.823575735092163, 5.678579330444336, -2.721956729888916, 5.706547737121582, -2.2185049057006836, -3.0580880641937256, -2.515180826187134, 5.900085926055908, -2.276185989379883, 5.2086029052734375, -1.072943925857544, -3.8188507556915283, -2.825449228286743, 1.8513779640197754, 1.233851671218872, 4.707735061645508, -1.0494426488876343, -3.5044970512390137, -0.9338077306747437, 5.285641670227051, -3.1750218868255615, 4.516366004943848, -0.18010100722312927, -3.9965157508850098]	reverseentailment
12	disjoint	add	[-0.056106433272361755, 1.9208741188049316, -1.5751638412475586, -1.7222201824188232, 4.0395355224609375, -1.6964304447174072, -2.6067588329315186, 0.5243052244186401, 2.4390294551849365, -2.8547255992889404, 2.0762126445770264, 1.1251137256622314, -1.8533295392990112, 2.3835835456848145, -0.15529395639896393, -3.281731367111206, 2.2332940101623535, 1.5371148586273193, -1.365044116973877, 0.7701302170753479, 0.6292981505393982, -2.8851640224456787, 0.8241593241691589, 2.5452075004577637, -0.9734162092208862, 1.7284965515136719, -0.6030327677726746, -1.6157574653625488, 3.630946636199951, -1.5200366973876953, -1.151503562927246, 3.0356860160827637, -1.382381558418274, -3.058077096939087, 1.1353671550750732, 2.379645586013794, -2.7109906673431396, -0.5737171769142151, 3.7358601093292236, -2.584775686264038, 0.5010726451873779, 2.525376319885254, -2.5803680419921875, -0.6251304149627686, 3.5977330207824707, -3.153561592102051, 0.6080189943313599, 3.0333054065704346, -2.0811831951141357, -0.12188378721475601, 2.573481321334839, -2.4935202598571777, 1.6580493450164795, 1.2333598136901855]	independent
13	synonym	org	[4.079595565795898, 0.17411233484745026, -3.9503045082092285, 4.684332847595215, -0.6064969897270203, -3.8053770065307617, -0.2164500504732132, -0.3320402204990387, 0.2791113257408142, 0.8229981660842896, -0.5523725748062134, -0.630139946937561, 4.609979629516602, -0.9924287796020508, -3.430600643157959, 4.702554702758789, -1.220120906829834, -3.329111099243164, 3.754556894302368, -1.455301284790039, -2.3808059692382812, 4.346388816833496, -1.6887412071228027, -2.655150890350342, 4.242383003234863, 0.11586187779903412, -4.046653747558594, 4.7539215087890625, -0.47427868843078613, -3.9822182655334473, 4.847385406494141, -1.1599161624908447, -3.4834256172180176, 5.06080436706543, -1.5901657342910767, -3.2598819732666016, 1.996956467628479, -0.22403475642204285, -1.893552303314209, 1.7038453817367554, 0.16000305116176605, -1.9646086692810059, 3.319962739944458, -0.9064933061599731, -2.4949991703033447, 3.111405611038208, -0.8043625950813293, -2.410057306289673, 3.8254098892211914, -0.543027400970459, -3.140803575515747, 3.2949767112731934, 0.016634836792945862, -3.1671860218048096]	synonym
14	disjoint	add	[1.1449062824249268, 2.1447243690490723, -2.894289016723633, -1.8244671821594238, 3.947728157043457, -1.3642640113830566, -1.3591325283050537, -1.3164966106414795, 2.810513496398926, -0.24215830862522125, 2.1629509925842285, -1.6974575519561768, 1.6675077676773071, -0.7041186690330505, -1.2079174518585205, -1.6575727462768555, 2.75756573677063, -0.6307554244995117, 2.7631008625030518, -1.9898651838302612, -0.9666075706481934, -0.4456087052822113, 2.003872871398926, -1.3662984371185303, 2.4251835346221924, 1.7023621797561646, -3.761026620864868, -0.9558497071266174, 4.436890602111816, -2.621509552001953, 1.5768994092941284, -0.04856450483202934, -1.6531498432159424, -0.9823617935180664, 3.2046804428100586, -1.6184780597686768, -1.600296974182129, 0.2748293876647949, 1.4924771785736084, -1.787015438079834, 2.098625898361206, 0.0505322590470314, -1.37337064743042, -0.5402106046676636, 1.9073950052261353, -3.001035451889038, 1.593041181564331, 1.6453262567520142, 0.5534303188323975, -0.03614427149295807, -0.68084716796875, -0.8227737545967102, 1.5011661052703857, -0.5412429571151733]	independent
15	disjoint	add	[1.744147539138794, 0.2258322536945343, -2.0535454750061035, -1.4838573932647705, 3.1188714504241943, -1.1277925968170166, -0.1756482869386673, -1.6179380416870117, 1.4909274578094482, 0.5734292268753052, 0.29658129811286926, -1.0568556785583496, 1.3321199417114258, -0.7796127796173096, -0.8272278904914856, -1.175502896308899, -0.2557494640350342, 1.467482566833496, 2.786777973175049, -1.9644452333450317, -1.0350085496902466, 0.2641563415527344, -0.3910679817199707, -0.1176329180598259, 1.6548608541488647, 0.8291943669319153, -2.425497055053711, 0.23461812734603882, 1.3612802028656006, -1.4794923067092896, 1.123083233833313, 0.025893691927194595, -1.3106541633605957, -0.8846336007118225, 1.6593809127807617, -0.6300657391548157, -1.2986880540847778, -0.609772801399231, 1.964898943901062, -2.032790184020996, 0.6322638988494873, 1.6250014305114746, -1.63981294631958, -0.40423834323883057, 2.101943016052246, -2.1315767765045166, 0.25149020552635193, 2.0253703594207764, -0.4215529263019562, -1.6200735569000244, 1.7999267578125, -0.45329049229621887, -0.5761123895645142, 0.8246982097625732]	disjoint
16	reverseentailment	org	[3.4303081035614014, -0.18680761754512787, -3.1397204399108887, 2.9183895587921143, 0.08894017338752747, -2.9672460556030273, 1.3350497484207153, 1.937550663948059, -2.9341373443603516, 0.9596811532974243, 1.8259726762771606, -2.5239360332489014, 4.485054969787598, -0.49701303243637085, -3.7565419673919678, 1.5172851085662842, 3.279026508331299, -3.992027997970581, 4.084973335266113, -1.3615527153015137, -2.750913143157959, 3.6624033451080322, -0.914940357208252, -2.782041072845459, 4.688314437866211, -0.4450627565383911, -3.979187488555908, 4.545104026794434, -0.2824142277240753, -3.990030288696289, 4.848664283752441, -1.0463627576828003, -3.572789192199707, 4.202267646789551, -0.29893064498901367, -3.6924548149108887, 1.6784857511520386, -0.3396502137184143, -1.5572900772094727, 0.8769996166229248, 0.8041495084762573, -1.7382150888442993, 3.629883050918579, -0.8297287225723267, -2.8339948654174805, 3.4749770164489746, -0.36382901668548584, -3.0921695232391357, 2.2175779342651367, 1.3182892799377441, -3.236579418182373, 0.8978124856948853, 2.395240545272827, -2.7966222763061523]	independent
17	disjoint	org	[3.443682909011841, -0.5891832113265991, -2.8213248252868652, 2.978720188140869, -0.2347729504108429, -2.738729238510132, 2.1245474815368652, 1.028136134147644, -2.997424364089966, 1.7997071743011475, 1.036651849746704, -2.7349319458007812, 4.3878984451293945, -0.4668840765953064, -3.7030084133148193, 2.3160178661346436, 2.133702278137207, -3.891152858734131, 3.8700711727142334, -1.4283009767532349, -2.489734411239624, 2.570255994796753, -0.3960552215576172, -2.290135383605957, 4.569340705871582, -0.4112663269042969, -3.90541934967041, 4.508706092834473, -0.3991739749908447, -3.8675804138183594, 4.587249755859375, -0.894206702709198, -3.4946069717407227, 2.503342390060425, 1.086332082748413, -3.370251178741455, 0.6380926370620728, -0.4183308780193329, -0.5060197114944458, 0.8302617073059082, 0.5201185941696167, -1.4643468856811523, 2.8701283931732178, -0.43606382608413696, -2.517133951187134, 2.7593295574188232, -0.04041040688753128, -2.752208709716797, 1.937031865119934, 0.9050671458244324, -2.7073020935058594, 0.6273494958877563, 1.28721022605896, -1.8031463623046875]	independent
18	disjoint	org	[1.6536533832550049, 2.040508985519409, -3.350821018218994, 0.11491916328668594, 1.3469195365905762, -1.3354207277297974, 2.395936965942383, 2.1653523445129395, -3.964459180831909, 0.12012958526611328, 2.1706295013427734, -1.964585542678833, -0.7982003092765808, 2.207824230194092, -1.2347110509872437, -1.1640315055847168, 3.7740094661712646, -1.9128199815750122, 2.07517409324646, -0.9179438352584839, -1.4059858322143555, 2.748137950897217, -0.21514900028705597, -2.5981321334838867, 1.0943794250488281, 2.1692357063293457, -2.9140849113464355, 2.4490206241607666, 0.6890612840652466, -3.081747531890869, -0.5637152194976807, 0.20426008105278015, 0.20728786289691925, -1.278233528137207, 1.0439321994781494, 0.25341638922691345, -3.1859099864959717, 1.0777095556259155, 2.4705259799957275, 0.5430740118026733, -0.8245424032211304, -0.08307327330112457, -2.864314317703247, 0.8561397790908813, 2.1309475898742676, 0.046281710267066956, -0.6554454565048218, 0.3176140785217285, -2.3472225666046143, -0.5019181370735168, 3.3580141067504883, -1.185607671737671, 0.9674995541572571, 0.3574844002723694]	independent
19	disjoint	org	[2.45512318611145, 0.07484637200832367, -2.5700016021728516, 0.4423886239528656, 0.027311142534017563, -0.6864233016967773, -0.245185986161232, -0.6350911855697632, 0.6469324231147766, 0.27313143014907837, -0.9407552480697632, 0.29680460691452026, 1.2257161140441895, 0.6497741937637329, -1.9937855005264282, 2.2578814029693604, -0.7019450068473816, -1.7636468410491943, 3.6294000148773193, -1.5259597301483154, -2.1983492374420166, 2.6132307052612305, -1.0060076713562012, -1.787734031677246, 2.1317296028137207, 0.7913010120391846, -2.861356735229492, 0.8327536582946777, 1.7807471752166748, -2.4050955772399902, 0.9750916957855225, 2.454362392425537, -2.9731807708740234, 1.164461374282837, 0.30029454827308655, -1.6281325817108154, 0.15312553942203522, -1.1715079545974731, 0.6605119705200195, -0.2643267512321472, -1.0428310632705688, 0.9960566163063049, -1.3225703239440918, -1.2148098945617676, 2.4897148609161377, -1.2201499938964844, -1.0852108001708984, 2.232264518737793, -0.4173469841480255, -1.6381338834762573, 1.7952508926391602, -0.156717449426651, -1.812122106552124, 1.6181671619415283]	disjoint
20	reverseentailment	org	[0.3755829930305481, 0.7662445306777954, -1.130776047706604, 3.744453191757202, -1.133157730102539, -2.640139102935791, -2.7131574153900146, 1.1007578372955322, 1.9596704244613647, -1.4815647602081299, -1.1413850784301758, 2.807774782180786, -1.0202901363372803, 3.1617650985717773, -1.5786241292953491, 4.841062545776367, -1.5663001537322998, -3.146367073059082, -0.9232531785964966, 1.9148695468902588, -0.7531843185424805, 3.9387362003326416, -1.6490864753723145, -2.372518301010132, 0.6388078331947327, 3.567315101623535, -3.3622477054595947, 4.604970932006836, -0.5985829830169678, -3.7796096801757812, -1.016309380531311, 4.087072849273682, -2.250002861022949, 5.146078109741211, -1.7332355976104736, -3.206451892852783, -1.7991048097610474, 3.1896488666534424, -0.8017695546150208, 2.7695810794830322, -1.5304384231567383, -1.3788316249847412, -2.7530360221862793, 0.9736156463623047, 2.020444869995117, 3.3767828941345215, -1.541670560836792, -1.9951143264770508, -1.7459442615509033, 0.5061832666397095, 1.4418058395385742, 1.0290546417236328, -1.5206674337387085, 0.16181644797325134]	disjoint
21	disjoint	org	[0.6145414710044861, -0.6226952075958252, -0.2877178192138672, -0.014890093356370926, -0.8390491604804993, 0.5806560516357422, -1.7661763429641724, 0.5632849335670471, 1.4613523483276367, 0.24688874185085297, -0.6248501539230347, 0.038591936230659485, -0.41753819584846497, -1.834573745727539, 2.015537738800049, 0.822213888168335, -2.344689130783081, 1.105933427810669, -1.1372740268707275, -0.30499449372291565, 1.4048354625701904, -1.6962659358978271, -1.2825055122375488, 3.091531276702881, 1.201314926147461, 1.1041021347045898, -2.2203845977783203, 2.0870602130889893, -0.6759223937988281, -1.6414172649383545, -0.6154345273971558, 2.5230255126953125, -1.5470690727233887, -0.28631922602653503, 1.3560192584991455, -0.9724839925765991, -2.4675676822662354, 1.1633150577545166, 1.5284953117370605, -3.2153303623199463, -0.5097777843475342, 4.303402900695801, -2.8003745079040527, 0.1969374716281891, 2.8857905864715576, -3.4254469871520996, 0.08467554301023483, 3.807621717453003, -0.9567664861679077, -1.0952403545379639, 2.0142054557800293, -0.8627506494522095, -1.191298007965088, 1.963672399520874]	independent
22	disjoint	org	[1.972793698310852, -0.4757896661758423, -1.6300113201141357, 1.8159931898117065, 1.8923563957214355, -3.300200939178467, -0.1716482937335968, 1.3402271270751953, -1.1408026218414307, 0.617355227470398, 0.8990288376808167, -1.5669567584991455, 3.1459648609161377, -1.1535053253173828, -2.083770990371704, 3.121629476547241, 0.02859143167734146, -3.122964382171631, -0.07641589641571045, -1.0021021366119385, 0.8560264706611633, -0.10124620050191879, -1.0928621292114258, 0.9200009107589722, 3.5280778408050537, 0.9500904679298401, -4.10198974609375, -0.5398709774017334, 4.359121322631836, -2.9053196907043457, 0.5654251575469971, 3.3018150329589844, -3.145230293273926, -1.0843254327774048, 4.646719455718994, -2.6004393100738525, -1.6157803535461426, 0.320620596408844, 1.3811542987823486, -1.836634635925293, -0.2911072373390198, 2.26431941986084, -2.441579818725586, -0.223910853266716, 2.9433608055114746, -2.054917335510254, -0.3666568696498871, 2.583615303039551, -2.2392995357513428, -1.6804287433624268, 4.440097332000732, -2.5112249851226807, -1.0992422103881836, 4.196688652038574]	disjoint
23	disjoint	org	[-1.8206522464752197, -0.9506363272666931, 2.978715419769287, -2.159721612930298, -1.0331645011901855, 3.547945976257324, -1.1717722415924072, -1.486222267150879, 2.6663331985473633, -1.967850685119629, -1.4247685670852661, 3.7196996212005615, -2.3996312618255615, -1.0503756999969482, 3.8263959884643555, -2.6270322799682617, -1.349422574043274, 4.459150314331055, -0.818996787071228, -1.9633010625839233, 2.6420326232910156, -1.826553463935852, -1.4979519844055176, 3.5336718559265137, 0.10236766934394836, -1.196882963180542, 0.705727219581604, -1.31955087184906, -0.24931097030639648, 1.4682375192642212, -1.2445893287658691, -1.3394265174865723, 2.5172653198242188, -2.1750729084014893, -1.1358520984649658, 3.5895228385925293, -3.051409959793091, -0.3137616813182831, 3.8343794345855713, -3.2888834476470947, -0.3390992283821106, 4.146342754364014, -3.12716007232666, 0.26160553097724915, 3.191438674926758, -3.5510127544403076, 0.3477901816368103, 3.6359643936157227, -2.102285146713257, -2.2690653800964355, 4.897205352783203, -2.6614396572113037, -2.1107676029205322, 5.454677581787109]	disjoint
24	disjoint	org	[2.044801950454712, 0.3502421975135803, -2.399590492248535, 0.5788736343383789, 0.9570537805557251, -1.4859228134155273, 0.07610027492046356, -0.8635843396186829, 0.43894389271736145, -1.223505973815918, 0.005929854698479176, 1.2734543085098267, 3.210820198059082, -0.26711735129356384, -2.9128448963165283, 0.9160035252571106, -0.03850032389163971, -1.076629638671875, 3.379681348800659, -1.6469818353652954, -1.8656651973724365, -0.5484199523925781, -0.3401973247528076, 0.6723073720932007, 3.623643398284912, -0.15106816589832306, -3.3845255374908447, 0.4707639813423157, 3.3102669715881348, -3.076648235321045, 2.4152305126190186, 0.7638366222381592, -3.0106377601623535, 0.20655736327171326, 1.4574086666107178, -1.5087834596633911, -0.24141356348991394, 1.3040432929992676, -0.9846822023391724, -3.0783562660217285, 1.2778712511062622, 2.245856285095215, 0.9526604413986206, -1.001723289489746, -0.2898625433444977, -1.5614714622497559, 0.26826006174087524, 1.364626407623291, 0.037299830466508865, 0.7209256887435913, -0.8066242933273315, -0.276137113571167, 0.16062147915363312, -0.018227476626634598]	independent
25	forwardentailment	org	[3.1137592792510986, 0.08984430879354477, -3.1424560546875, -0.07289715111255646, 1.779245138168335, -1.4123895168304443, -2.009329080581665, 0.2570185363292694, 2.0310232639312744, -1.9536867141723633, 4.206448554992676, -1.4865708351135254, 4.251657485961914, -0.4817619323730469, -3.605720281600952, -1.0824991464614868, 4.9633283615112305, -2.832240581512451, 4.784737586975098, -2.0208215713500977, -2.712996244430542, -1.2902246713638306, 2.251157760620117, -0.6319165229797363, 3.4588170051574707, 0.7333446741104126, -3.9147162437438965, 0.42698773741722107, 3.681708335876465, -3.244170904159546, 2.216498374938965, 0.202517569065094, -2.469910144805908, -0.5839677453041077, 4.347280025482178, -2.7485337257385254, 1.677177906036377, 0.99574875831604, -2.5903327465057373, -1.8188365697860718, 3.1025772094726562, -0.689288318157196, 2.79827880859375, -1.0005972385406494, -1.9824762344360352, -3.0256187915802, 2.119746208190918, 1.2540326118469238, 0.5747461318969727, -0.5110960006713867, -0.3792095482349396, -1.591991901397705, 1.5809361934661865, 0.26080670952796936]	forwardentailment
