CombID	SenID	templatenum	prem	hyp
10	4	6	A kid fetches a outdoors by a tree in the yard.	a kid gets a boy
10	4	6	A kid fetches a boy by a tree in the yard.	a kid gets a outdoors
10	4	7	A green frog buys a outdoors from a stand.	There is a green frog buying a boy
10	4	7	A green frog buys a boy from a stand.	There is a green frog buying a outdoors
10	4	8	A outdoors	A boy
10	4	8	A boy	A outdoors
11	4	0	The outdoors is photographed with a camera	There is a man present
11	4	0	The man is photographed with a camera	There is a outdoors present
11	4	1	The outdoors is in the water	The man is wet
11	4	1	The man is in the water	The outdoors is wet
11	4	2	A outdoors is outside near a campfire at night	There is a man outside
11	4	2	A man is outside near a campfire at night	There is a outdoors outside
11	4	3	A young woman is looking at a outdoors with a binocular	A man is looked at by a woman
11	4	3	A young woman is looking at a man with a binocular	A outdoors is looked at by a woman
11	4	4	Several people are moving towards the outdoors	There is a group of people near the man
11	4	4	Several people are moving towards the man	There is a group of people near the outdoors
11	4	5	A bald man standing to the side of a outdoors	The man stands near a man.
11	4	5	A bald man standing to the side of a man	The man stands near a outdoors.
11	4	6	A kid fetches a outdoors by a tree in the yard.	a kid gets a man
11	4	6	A kid fetches a man by a tree in the yard.	a kid gets a outdoors
11	4	7	A green frog buys a outdoors from a stand.	There is a green frog buying a man
11	4	7	A green frog buys a man from a stand.	There is a green frog buying a outdoors
11	4	8	A outdoors	A man
11	4	8	A man	A outdoors
12	4	0	The outdoors is photographed with a camera	There is a boy playing outdoors present
12	4	0	The boy playing outdoors is photographed with a camera	There is a outdoors present
12	4	1	The outdoors is in the water	The boy playing outdoors is wet
12	4	1	The boy playing outdoors is in the water	The outdoors is wet
12	4	2	A outdoors is outside near a campfire at night	There is a boy playing outdoors outside
12	4	2	A boy playing outdoors is outside near a campfire at night	There is a outdoors outside
12	4	3	A young woman is looking at a outdoors with a binocular	A boy playing outdoors is looked at by a woman
12	4	3	A young woman is looking at a boy playing outdoors with a binocular	A outdoors is looked at by a woman
12	4	4	Several people are moving towards the outdoors	There is a group of people near the boy playing outdoors
12	4	4	Several people are moving towards the boy playing outdoors	There is a group of people near the outdoors
12	4	5	A bald man standing to the side of a outdoors	The man stands near a boy playing outdoors.
12	4	5	A bald man standing to the side of a boy playing outdoors	The man stands near a outdoors.
12	4	6	A kid fetches a outdoors by a tree in the yard.	a kid gets a boy playing outdoors
12	4	6	A kid fetches a boy playing outdoors by a tree in the yard.	a kid gets a outdoors
12	4	7	A green frog buys a outdoors from a stand.	There is a green frog buying a boy playing outdoors
12	4	7	A green frog buys a boy playing outdoors from a stand.	There is a green frog buying a outdoors
12	4	8	A outdoors	A boy playing outdoors
12	4	8	A boy playing outdoors	A outdoors
13	4	0	The outdoors is photographed with a camera	There is a man smiling present
13	4	0	The man smiling is photographed with a camera	There is a outdoors present
13	4	1	The outdoors is in the water	The man smiling is wet
13	4	1	The man smiling is in the water	The outdoors is wet
13	4	2	A outdoors is outside near a campfire at night	There is a man smiling outside
13	4	2	A man smiling is outside near a campfire at night	There is a outdoors outside
13	4	3	A young woman is looking at a outdoors with a binocular	A man smiling is looked at by a woman
13	4	3	A young woman is looking at a man smiling with a binocular	A outdoors is looked at by a woman
13	4	4	Several people are moving towards the outdoors	There is a group of people near the man smiling
13	4	4	Several people are moving towards the man smiling	There is a group of people near the outdoors
13	4	5	A bald man standing to the side of a outdoors	The man stands near a man smiling.
13	4	5	A bald man standing to the side of a man smiling	The man stands near a outdoors.
13	4	6	A kid fetches a outdoors by a tree in the yard.	a kid gets a man smiling
13	4	6	A kid fetches a man smiling by a tree in the yard.	a kid gets a outdoors
13	4	7	A green frog buys a outdoors from a stand.	There is a green frog buying a man smiling
13	4	7	A green frog buys a man smiling from a stand.	There is a green frog buying a outdoors
13	4	8	A outdoors	A man smiling
13	4	8	A man smiling	A outdoors
14	4	0	The young boys is photographed with a camera	There is a boy present
14	4	0	The boy is photographed with a camera	There is a young boys present
14	4	1	The young boys is in the water	The boy is wet
14	4	1	The boy is in the water	The young boys is wet
14	4	2	A young boys is outside near a campfire at night	There is a boy outside
14	4	2	A boy is outside near a campfire at night	There is a young boys outside
14	4	3	A young woman is looking at a young boys with a binocular	A boy is looked at by a woman
14	4	3	A young woman is looking at a boy with a binocular	A young boys is looked at by a woman
14	4	4	Several people are moving towards the young boys	There is a group of people near the boy
14	4	4	Several people are moving towards the boy	There is a group of people near the young boys
14	4	5	A bald man standing to the side of a young boys	The man stands near a boy.
14	4	5	A bald man standing to the side of a boy	The man stands near a young boys.
14	4	6	A kid fetches a young boys by a tree in the yard.	a kid gets a boy
14	4	6	A kid fetches a boy by a tree in the yard.	a kid gets a young boys
14	4	7	A green frog buys a young boys from a stand.	There is a green frog buying a boy
14	4	7	A green frog buys a boy from a stand.	There is a green frog buying a young boys
14	4	8	A young boys	A boy
14	4	8	A boy	A young boys
15	4	0	The young boys is photographed with a camera	There is a man present
15	4	0	The man is photographed with a camera	There is a young boys present
15	4	1	The young boys is in the water	The man is wet
15	4	1	The man is in the water	The young boys is wet
15	4	2	A young boys is outside near a campfire at night	There is a man outside
15	4	2	A man is outside near a campfire at night	There is a young boys outside
15	4	3	A young woman is looking at a young boys with a binocular	A man is looked at by a woman
15	4	3	A young woman is looking at a man with a binocular	A young boys is looked at by a woman
15	4	4	Several people are moving towards the young boys	There is a group of people near the man
15	4	4	Several people are moving towards the man	There is a group of people near the young boys
15	4	5	A bald man standing to the side of a young boys	The man stands near a man.
15	4	5	A bald man standing to the side of a man	The man stands near a young boys.
15	4	6	A kid fetches a young boys by a tree in the yard.	a kid gets a man
15	4	6	A kid fetches a man by a tree in the yard.	a kid gets a young boys
15	4	7	A green frog buys a young boys from a stand.	There is a green frog buying a man
15	4	7	A green frog buys a man from a stand.	There is a green frog buying a young boys
15	4	8	A young boys	A man
15	4	8	A man	A young boys
16	4	0	The young boys is photographed with a camera	There is a outdoors present
16	4	0	The outdoors is photographed with a camera	There is a young boys present
16	4	1	The young boys is in the water	The outdoors is wet
16	4	1	The outdoors is in the water	The young boys is wet
16	4	2	A young boys is outside near a campfire at night	There is a outdoors outside
16	4	2	A outdoors is outside near a campfire at night	There is a young boys outside
16	4	3	A young woman is looking at a young boys with a binocular	A outdoors is looked at by a woman
16	4	3	A young woman is looking at a outdoors with a binocular	A young boys is looked at by a woman
16	4	4	Several people are moving towards the young boys	There is a group of people near the outdoors
16	4	4	Several people are moving towards the outdoors	There is a group of people near the young boys
16	4	5	A bald man standing to the side of a young boys	The man stands near a outdoors.
16	4	5	A bald man standing to the side of a outdoors	The man stands near a young boys.
16	4	6	A kid fetches a young boys by a tree in the yard.	a kid gets a outdoors
16	4	6	A kid fetches a outdoors by a tree in the yard.	a kid gets a young boys
16	4	7	A green frog buys a young boys from a stand.	There is a green frog buying a outdoors
16	4	7	A green frog buys a outdoors from a stand.	There is a green frog buying a young boys
16	4	8	A young boys	A outdoors
16	4	8	A outdoors	A young boys
17	4	0	The young boys is photographed with a camera	There is a boy playing outdoors present
17	4	0	The boy playing outdoors is photographed with a camera	There is a young boys present
17	4	1	The young boys is in the water	The boy playing outdoors is wet
17	4	1	The boy playing outdoors is in the water	The young boys is wet
17	4	2	A young boys is outside near a campfire at night	There is a boy playing outdoors outside
17	4	2	A boy playing outdoors is outside near a campfire at night	There is a young boys outside
17	4	3	A young woman is looking at a young boys with a binocular	A boy playing outdoors is looked at by a woman
17	4	3	A young woman is looking at a boy playing outdoors with a binocular	A young boys is looked at by a woman
17	4	4	Several people are moving towards the young boys	There is a group of people near the boy playing outdoors
17	4	4	Several people are moving towards the boy playing outdoors	There is a group of people near the young boys
17	4	5	A bald man standing to the side of a young boys	The man stands near a boy playing outdoors.
17	4	5	A bald man standing to the side of a boy playing outdoors	The man stands near a young boys.
17	4	6	A kid fetches a young boys by a tree in the yard.	a kid gets a boy playing outdoors
17	4	6	A kid fetches a boy playing outdoors by a tree in the yard.	a kid gets a young boys
17	4	7	A green frog buys a young boys from a stand.	There is a green frog buying a boy playing outdoors
17	4	7	A green frog buys a boy playing outdoors from a stand.	There is a green frog buying a young boys
17	4	8	A young boys	A boy playing outdoors
17	4	8	A boy playing outdoors	A young boys
18	4	0	The young boys is photographed with a camera	There is a man smiling present
18	4	0	The man smiling is photographed with a camera	There is a young boys present
18	4	1	The young boys is in the water	The man smiling is wet
18	4	1	The man smiling is in the water	The young boys is wet
18	4	2	A young boys is outside near a campfire at night	There is a man smiling outside
18	4	2	A man smiling is outside near a campfire at night	There is a young boys outside
18	4	3	A young woman is looking at a young boys with a binocular	A man smiling is looked at by a woman
18	4	3	A young woman is looking at a man smiling with a binocular	A young boys is looked at by a woman
18	4	4	Several people are moving towards the young boys	There is a group of people near the man smiling
18	4	4	Several people are moving towards the man smiling	There is a group of people near the young boys
18	4	5	A bald man standing to the side of a young boys	The man stands near a man smiling.
18	4	5	A bald man standing to the side of a man smiling	The man stands near a young boys.
18	4	6	A kid fetches a young boys by a tree in the yard.	a kid gets a man smiling
18	4	6	A kid fetches a man smiling by a tree in the yard.	a kid gets a young boys
18	4	7	A green frog buys a young boys from a stand.	There is a green frog buying a man smiling
18	4	7	A green frog buys a man smiling from a stand.	There is a green frog buying a young boys
18	4	8	A young boys	A man smiling
18	4	8	A man smiling	A young boys
19	4	0	The playing is photographed with a camera	There is a smiling present
19	4	0	The smiling is photographed with a camera	There is a playing present
19	4	1	The playing is in the water	The smiling is wet
19	4	1	The smiling is in the water	The playing is wet
19	4	2	A playing is outside near a campfire at night	There is a smiling outside
19	4	2	A smiling is outside near a campfire at night	There is a playing outside
19	4	3	A young woman is looking at a playing with a binocular	A smiling is looked at by a woman
19	4	3	A young woman is looking at a smiling with a binocular	A playing is looked at by a woman
19	4	4	Several people are moving towards the playing	There is a group of people near the smiling
19	4	4	Several people are moving towards the smiling	There is a group of people near the playing
19	4	5	A bald man standing to the side of a playing	The man stands near a smiling.
19	4	5	A bald man standing to the side of a smiling	The man stands near a playing.
19	4	6	A kid fetches a playing by a tree in the yard.	a kid gets a smiling
19	4	6	A kid fetches a smiling by a tree in the yard.	a kid gets a playing
19	4	7	A green frog buys a playing from a stand.	There is a green frog buying a smiling
19	4	7	A green frog buys a smiling from a stand.	There is a green frog buying a playing
19	4	8	A playing	A smiling
19	4	8	A smiling	A playing
20	4	0	The smiling is photographed with a camera	There is a playing present
20	4	0	The playing is photographed with a camera	There is a smiling present
20	4	1	The smiling is in the water	The playing is wet
20	4	1	The playing is in the water	The smiling is wet
20	4	2	A smiling is outside near a campfire at night	There is a playing outside
20	4	2	A playing is outside near a campfire at night	There is a smiling outside
20	4	3	A young woman is looking at a smiling with a binocular	A playing is looked at by a woman
20	4	3	A young woman is looking at a playing with a binocular	A smiling is looked at by a woman
20	4	4	Several people are moving towards the smiling	There is a group of people near the playing
20	4	4	Several people are moving towards the playing	There is a group of people near the smiling
20	4	5	A bald man standing to the side of a smiling	The man stands near a playing.
20	4	5	A bald man standing to the side of a playing	The man stands near a smiling.
20	4	6	A kid fetches a smiling by a tree in the yard.	a kid gets a playing
20	4	6	A kid fetches a playing by a tree in the yard.	a kid gets a smiling
20	4	7	A green frog buys a smiling from a stand.	There is a green frog buying a playing
20	4	7	A green frog buys a playing from a stand.	There is a green frog buying a smiling
20	4	8	A smiling	A playing
20	4	8	A playing	A smiling
21	24	0	The jacket is photographed with a camera	There is a bicycle present
21	24	0	The bicycle is photographed with a camera	There is a jacket present
21	24	1	The jacket is in the water	The bicycle is wet
21	24	1	The bicycle is in the water	The jacket is wet
21	24	2	A jacket is outside near a campfire at night	There is a bicycle outside
21	24	2	A bicycle is outside near a campfire at night	There is a jacket outside
21	24	3	A young woman is looking at a jacket with a binocular	A bicycle is looked at by a woman
21	24	3	A young woman is looking at a bicycle with a binocular	A jacket is looked at by a woman
21	24	4	Several people are moving towards the jacket	There is a group of people near the bicycle
21	24	4	Several people are moving towards the bicycle	There is a group of people near the jacket
21	24	5	A bald man standing to the side of a jacket	The man stands near a bicycle.
21	24	5	A bald man standing to the side of a bicycle	The man stands near a jacket.
21	24	6	A kid fetches a jacket by a tree in the yard.	a kid gets a bicycle
21	24	6	A kid fetches a bicycle by a tree in the yard.	a kid gets a jacket
21	24	7	A green frog buys a jacket from a stand.	There is a green frog buying a bicycle
21	24	7	A green frog buys a bicycle from a stand.	There is a green frog buying a jacket
21	24	8	A jacket	A bicycle
21	24	8	A bicycle	A jacket
22	24	0	The jacket is photographed with a camera	There is a person present
22	24	0	The person is photographed with a camera	There is a jacket present
22	24	1	The jacket is in the water	The person is wet
22	24	1	The person is in the water	The jacket is wet
22	24	2	A jacket is outside near a campfire at night	There is a person outside
22	24	2	A person is outside near a campfire at night	There is a jacket outside
22	24	3	A young woman is looking at a jacket with a binocular	A person is looked at by a woman
22	24	3	A young woman is looking at a person with a binocular	A jacket is looked at by a woman
22	24	4	Several people are moving towards the jacket	There is a group of people near the person
22	24	4	Several people are moving towards the person	There is a group of people near the jacket
22	24	5	A bald man standing to the side of a jacket	The man stands near a person.
22	24	5	A bald man standing to the side of a person	The man stands near a jacket.
22	24	6	A kid fetches a jacket by a tree in the yard.	a kid gets a person
22	24	6	A kid fetches a person by a tree in the yard.	a kid gets a jacket
22	24	7	A green frog buys a jacket from a stand.	There is a green frog buying a person
22	24	7	A green frog buys a person from a stand.	There is a green frog buying a jacket
22	24	8	A jacket	A person
22	24	8	A person	A jacket
23	24	0	The jacket is photographed with a camera	There is a wheel present
23	24	0	The wheel is photographed with a camera	There is a jacket present
23	24	1	The jacket is in the water	The wheel is wet
23	24	1	The wheel is in the water	The jacket is wet
23	24	2	A jacket is outside near a campfire at night	There is a wheel outside
23	24	2	A wheel is outside near a campfire at night	There is a jacket outside
23	24	3	A young woman is looking at a jacket with a binocular	A wheel is looked at by a woman
23	24	3	A young woman is looking at a wheel with a binocular	A jacket is looked at by a woman
23	24	4	Several people are moving towards the jacket	There is a group of people near the wheel
23	24	4	Several people are moving towards the wheel	There is a group of people near the jacket
23	24	5	A bald man standing to the side of a jacket	The man stands near a wheel.
23	24	5	A bald man standing to the side of a wheel	The man stands near a jacket.
23	24	6	A kid fetches a jacket by a tree in the yard.	a kid gets a wheel
23	24	6	A kid fetches a wheel by a tree in the yard.	a kid gets a jacket
23	24	7	A green frog buys a jacket from a stand.	There is a green frog buying a wheel
23	24	7	A green frog buys a wheel from a stand.	There is a green frog buying a jacket
23	24	8	A jacket	A wheel
23	24	8	A wheel	A jacket
24	24	0	The jacket is photographed with a camera	There is a one wheel present
24	24	0	The one wheel is photographed with a camera	There is a jacket present
24	24	1	The jacket is in the water	The one wheel is wet
24	24	1	The one wheel is in the water	The jacket is wet
24	24	2	A jacket is outside near a campfire at night	There is a one wheel outside
24	24	2	A one wheel is outside near a campfire at night	There is a jacket outside
24	24	3	A young woman is looking at a jacket with a binocular	A one wheel is looked at by a woman
24	24	3	A young woman is looking at a one wheel with a binocular	A jacket is looked at by a woman
24	24	4	Several people are moving towards the jacket	There is a group of people near the one wheel
24	24	4	Several people are moving towards the one wheel	There is a group of people near the jacket
24	24	5	A bald man standing to the side of a jacket	The man stands near a one wheel.
24	24	5	A bald man standing to the side of a one wheel	The man stands near a jacket.
24	24	6	A kid fetches a jacket by a tree in the yard.	a kid gets a one wheel
24	24	6	A kid fetches a one wheel by a tree in the yard.	a kid gets a jacket
24	24	7	A green frog buys a jacket from a stand.	There is a green frog buying a one wheel
24	24	7	A green frog buys a one wheel from a stand.	There is a green frog buying a jacket
24	24	8	A jacket	A one wheel
24	24	8	A one wheel	A jacket
25	24	0	The jacket is photographed with a camera	There is a skilled person present
25	24	0	The skilled person is photographed with a camera	There is a jacket present
25	24	1	The jacket is in the water	The skilled person is wet
25	24	1	The skilled person is in the water	The jacket is wet
25	24	2	A jacket is outside near a campfire at night	There is a skilled person outside
25	24	2	A skilled person is outside near a campfire at night	There is a jacket outside
25	24	3	A young woman is looking at a jacket with a binocular	A skilled person is looked at by a woman
25	24	3	A young woman is looking at a skilled person with a binocular	A jacket is looked at by a woman
25	24	4	Several people are moving towards the jacket	There is a group of people near the skilled person
25	24	4	Several people are moving towards the skilled person	There is a group of people near the jacket
25	24	5	A bald man standing to the side of a jacket	The man stands near a skilled person.
25	24	5	A bald man standing to the side of a skilled person	The man stands near a jacket.
25	24	6	A kid fetches a jacket by a tree in the yard.	a kid gets a skilled person
25	24	6	A kid fetches a skilled person by a tree in the yard.	a kid gets a jacket
25	24	7	A green frog buys a jacket from a stand.	There is a green frog buying a skilled person
25	24	7	A green frog buys a skilled person from a stand.	There is a green frog buying a jacket
25	24	8	A jacket	A skilled person
25	24	8	A skilled person	A jacket
26	24	0	The motorbike is photographed with a camera	There is a bicycle present
26	24	0	The bicycle is photographed with a camera	There is a motorbike present
26	24	1	The motorbike is in the water	The bicycle is wet
26	24	1	The bicycle is in the water	The motorbike is wet
26	24	2	A motorbike is outside near a campfire at night	There is a bicycle outside
26	24	2	A bicycle is outside near a campfire at night	There is a motorbike outside
26	24	3	A young woman is looking at a motorbike with a binocular	A bicycle is looked at by a woman
26	24	3	A young woman is looking at a bicycle with a binocular	A motorbike is looked at by a woman
26	24	4	Several people are moving towards the motorbike	There is a group of people near the bicycle
26	24	4	Several people are moving towards the bicycle	There is a group of people near the motorbike
26	24	5	A bald man standing to the side of a motorbike	The man stands near a bicycle.
26	24	5	A bald man standing to the side of a bicycle	The man stands near a motorbike.
26	24	6	A kid fetches a motorbike by a tree in the yard.	a kid gets a bicycle
26	24	6	A kid fetches a bicycle by a tree in the yard.	a kid gets a motorbike
