CombID	SenID	templatenum	prem	hyp	label	meta
10	8	6	A kid fetches a cat by a tree in the yard.	a kid gets a animal	reverseentailment	org
10	8	7	A green frog buys a animal from a stand.	There is a green frog buying a cat	reverseentailment	org
10	8	7	A green frog buys a cat from a stand.	There is a green frog buying a animal	reverseentailment	org
10	8	8	A animal	A cat	reverseentailment	org
10	8	8	A cat	A animal	reverseentailment	org
11	9	0	The animal is photographed with a camera	There is a snake present	reverseentailment	org
11	9	0	The snake is photographed with a camera	There is a animal present	reverseentailment	org
11	9	1	The animal is in the water	The snake is wet	reverseentailment	org
11	9	1	The snake is in the water	The animal is wet	reverseentailment	org
11	9	2	A animal is outside near a campfire at night	There is a snake outside	reverseentailment	org
11	9	2	A snake is outside near a campfire at night	There is a animal outside	reverseentailment	org
11	9	3	A young woman is looking at a animal with a binocular	A snake is looked at by a woman	reverseentailment	org
11	9	3	A young woman is looking at a snake with a binocular	A animal is looked at by a woman	reverseentailment	org
11	9	4	Several people are moving towards the animal	There is a group of people near the snake	reverseentailment	org
11	9	4	Several people are moving towards the snake	There is a group of people near the animal	reverseentailment	org
11	9	5	A bald man standing to the side of a animal	The man stands near a snake.	reverseentailment	org
11	9	5	A bald man standing to the side of a snake	The man stands near a animal.	reverseentailment	org
11	9	6	A kid fetches a animal by a tree in the yard.	a kid gets a snake	reverseentailment	org
11	9	6	A kid fetches a snake by a tree in the yard.	a kid gets a animal	reverseentailment	org
11	9	7	A green frog buys a animal from a stand.	There is a green frog buying a snake	reverseentailment	org
11	9	7	A green frog buys a snake from a stand.	There is a green frog buying a animal	reverseentailment	org
11	9	8	A animal	A snake	reverseentailment	org
11	9	8	A snake	A animal	reverseentailment	org
12	9	0	The animal health department is photographed with a camera	There is a snakes present	disjoint	add
12	9	0	The snakes is photographed with a camera	There is a animal health department present	disjoint	add
12	9	1	The animal health department is in the water	The snakes is wet	disjoint	add
12	9	1	The snakes is in the water	The animal health department is wet	disjoint	add
12	9	2	A animal health department is outside near a campfire at night	There is a snakes outside	disjoint	add
12	9	2	A snakes is outside near a campfire at night	There is a animal health department outside	disjoint	add
12	9	3	A young woman is looking at a animal health department with a binocular	A snakes is looked at by a woman	disjoint	add
12	9	3	A young woman is looking at a snakes with a binocular	A animal health department is looked at by a woman	disjoint	add
12	9	4	Several people are moving towards the animal health department	There is a group of people near the snakes	disjoint	add
12	9	4	Several people are moving towards the snakes	There is a group of people near the animal health department	disjoint	add
12	9	5	A bald man standing to the side of a animal health department	The man stands near a snakes.	disjoint	add
12	9	5	A bald man standing to the side of a snakes	The man stands near a animal health department.	disjoint	add
12	9	6	A kid fetches a animal health department by a tree in the yard.	a kid gets a snakes	disjoint	add
12	9	6	A kid fetches a snakes by a tree in the yard.	a kid gets a animal health department	disjoint	add
12	9	7	A green frog buys a animal health department from a stand.	There is a green frog buying a snakes	disjoint	add
12	9	7	A green frog buys a snakes from a stand.	There is a green frog buying a animal health department	disjoint	add
12	9	8	A animal health department	A snakes	disjoint	add
12	9	8	A snakes	A animal health department	disjoint	add
13	10	0	The automobile is photographed with a camera	There is a car present	synonym	org
13	10	0	The car is photographed with a camera	There is a automobile present	synonym	org
13	10	1	The automobile is in the water	The car is wet	synonym	org
13	10	1	The car is in the water	The automobile is wet	synonym	org
13	10	2	A automobile is outside near a campfire at night	There is a car outside	synonym	org
13	10	2	A car is outside near a campfire at night	There is a automobile outside	synonym	org
13	10	3	A young woman is looking at a automobile with a binocular	A car is looked at by a woman	synonym	org
13	10	3	A young woman is looking at a car with a binocular	A automobile is looked at by a woman	synonym	org
13	10	4	Several people are moving towards the automobile	There is a group of people near the car	synonym	org
13	10	4	Several people are moving towards the car	There is a group of people near the automobile	synonym	org
13	10	5	A bald man standing to the side of a automobile	The man stands near a car.	synonym	org
13	10	5	A bald man standing to the side of a car	The man stands near a automobile.	synonym	org
13	10	6	A kid fetches a automobile by a tree in the yard.	a kid gets a car	synonym	org
13	10	6	A kid fetches a car by a tree in the yard.	a kid gets a automobile	synonym	org
13	10	7	A green frog buys a automobile from a stand.	There is a green frog buying a car	synonym	org
13	10	7	A green frog buys a car from a stand.	There is a green frog buying a automobile	synonym	org
13	10	8	A automobile	A car	synonym	org
13	10	8	A car	A automobile	synonym	org
14	10	0	The mutual automobile insurance is photographed with a camera	There is a cars present	disjoint	add
14	10	0	The cars is photographed with a camera	There is a mutual automobile insurance present	disjoint	add
14	10	1	The mutual automobile insurance is in the water	The cars is wet	disjoint	add
14	10	1	The cars is in the water	The mutual automobile insurance is wet	disjoint	add
14	10	2	A mutual automobile insurance is outside near a campfire at night	There is a cars outside	disjoint	add
14	10	2	A cars is outside near a campfire at night	There is a mutual automobile insurance outside	disjoint	add
14	10	3	A young woman is looking at a mutual automobile insurance with a binocular	A cars is looked at by a woman	disjoint	add
14	10	3	A young woman is looking at a cars with a binocular	A mutual automobile insurance is looked at by a woman	disjoint	add
14	10	4	Several people are moving towards the mutual automobile insurance	There is a group of people near the cars	disjoint	add
14	10	4	Several people are moving towards the cars	There is a group of people near the mutual automobile insurance	disjoint	add
14	10	5	A bald man standing to the side of a mutual automobile insurance	The man stands near a cars.	disjoint	add
14	10	5	A bald man standing to the side of a cars	The man stands near a mutual automobile insurance.	disjoint	add
14	10	6	A kid fetches a mutual automobile insurance by a tree in the yard.	a kid gets a cars	disjoint	add
14	10	6	A kid fetches a cars by a tree in the yard.	a kid gets a mutual automobile insurance	disjoint	add
14	10	7	A green frog buys a mutual automobile insurance from a stand.	There is a green frog buying a cars	disjoint	add
14	10	7	A green frog buys a cars from a stand.	There is a green frog buying a mutual automobile insurance	disjoint	add
14	10	8	A mutual automobile insurance	A cars	disjoint	add
14	10	8	A cars	A mutual automobile insurance	disjoint	add
15	10	0	The automobile insurance is photographed with a camera	There is a flash cars present	disjoint	add
15	10	0	The flash cars is photographed with a camera	There is a automobile insurance present	disjoint	add
15	10	1	The automobile insurance is in the water	The flash cars is wet	disjoint	add
15	10	1	The flash cars is in the water	The automobile insurance is wet	disjoint	add
15	10	2	A automobile insurance is outside near a campfire at night	There is a flash cars outside	disjoint	add
15	10	2	A flash cars is outside near a campfire at night	There is a automobile insurance outside	disjoint	add
15	10	3	A young woman is looking at a automobile insurance with a binocular	A flash cars is looked at by a woman	disjoint	add
15	10	3	A young woman is looking at a flash cars with a binocular	A automobile insurance is looked at by a woman	disjoint	add
15	10	4	Several people are moving towards the automobile insurance	There is a group of people near the flash cars	disjoint	add
15	10	4	Several people are moving towards the flash cars	There is a group of people near the automobile insurance	disjoint	add
15	10	5	A bald man standing to the side of a automobile insurance	The man stands near a flash cars.	disjoint	add
15	10	5	A bald man standing to the side of a flash cars	The man stands near a automobile insurance.	disjoint	add
15	10	6	A kid fetches a automobile insurance by a tree in the yard.	a kid gets a flash cars	disjoint	add
15	10	6	A kid fetches a flash cars by a tree in the yard.	a kid gets a automobile insurance	disjoint	add
15	10	7	A green frog buys a automobile insurance from a stand.	There is a green frog buying a flash cars	disjoint	add
15	10	7	A green frog buys a flash cars from a stand.	There is a green frog buying a automobile insurance	disjoint	add
15	10	8	A automobile insurance	A flash cars	disjoint	add
15	10	8	A flash cars	A automobile insurance	disjoint	add
16	11	0	The baby is photographed with a camera	There is a child present	reverseentailment	org
16	11	0	The child is photographed with a camera	There is a baby present	reverseentailment	org
16	11	1	The baby is in the water	The child is wet	reverseentailment	org
16	11	1	The child is in the water	The baby is wet	reverseentailment	org
16	11	2	A baby is outside near a campfire at night	There is a child outside	reverseentailment	org
16	11	2	A child is outside near a campfire at night	There is a baby outside	reverseentailment	org
16	11	3	A young woman is looking at a baby with a binocular	A child is looked at by a woman	reverseentailment	org
16	11	3	A young woman is looking at a child with a binocular	A baby is looked at by a woman	reverseentailment	org
16	11	4	Several people are moving towards the baby	There is a group of people near the child	reverseentailment	org
16	11	4	Several people are moving towards the child	There is a group of people near the baby	reverseentailment	org
16	11	5	A bald man standing to the side of a baby	The man stands near a child.	reverseentailment	org
16	11	5	A bald man standing to the side of a child	The man stands near a baby.	reverseentailment	org
16	11	6	A kid fetches a baby by a tree in the yard.	a kid gets a child	reverseentailment	org
16	11	6	A kid fetches a child by a tree in the yard.	a kid gets a baby	reverseentailment	org
16	11	7	A green frog buys a baby from a stand.	There is a green frog buying a child	reverseentailment	org
16	11	7	A green frog buys a child from a stand.	There is a green frog buying a baby	reverseentailment	org
16	11	8	A baby	A child	reverseentailment	org
16	11	8	A child	A baby	reverseentailment	org
17	12	0	The baby is photographed with a camera	There is a kid present	disjoint	org
17	12	0	The kid is photographed with a camera	There is a baby present	disjoint	org
17	12	1	The baby is in the water	The kid is wet	disjoint	org
17	12	1	The kid is in the water	The baby is wet	disjoint	org
17	12	2	A baby is outside near a campfire at night	There is a kid outside	disjoint	org
17	12	2	A kid is outside near a campfire at night	There is a baby outside	disjoint	org
17	12	3	A young woman is looking at a baby with a binocular	A kid is looked at by a woman	disjoint	org
17	12	3	A young woman is looking at a kid with a binocular	A baby is looked at by a woman	disjoint	org
17	12	4	Several people are moving towards the baby	There is a group of people near the kid	disjoint	org
17	12	4	Several people are moving towards the kid	There is a group of people near the baby	disjoint	org
17	12	5	A bald man standing to the side of a baby	The man stands near a kid.	disjoint	org
17	12	5	A bald man standing to the side of a kid	The man stands near a baby.	disjoint	org
17	12	6	A kid fetches a baby by a tree in the yard.	a kid gets a kid	disjoint	org
17	12	6	A kid fetches a kid by a tree in the yard.	a kid gets a baby	disjoint	org
17	12	7	A green frog buys a baby from a stand.	There is a green frog buying a kid	disjoint	org
17	12	7	A green frog buys a kid from a stand.	There is a green frog buying a baby	disjoint	org
17	12	8	A baby	A kid	disjoint	org
17	12	8	A kid	A baby	disjoint	org
18	13	0	The baby is photographed with a camera	There is a mother present	disjoint	org
18	13	0	The mother is photographed with a camera	There is a baby present	disjoint	org
18	13	1	The baby is in the water	The mother is wet	disjoint	org
18	13	1	The mother is in the water	The baby is wet	disjoint	org
18	13	2	A baby is outside near a campfire at night	There is a mother outside	disjoint	org
18	13	2	A mother is outside near a campfire at night	There is a baby outside	disjoint	org
18	13	3	A young woman is looking at a baby with a binocular	A mother is looked at by a woman	disjoint	org
18	13	3	A young woman is looking at a mother with a binocular	A baby is looked at by a woman	disjoint	org
18	13	4	Several people are moving towards the baby	There is a group of people near the mother	disjoint	org
18	13	4	Several people are moving towards the mother	There is a group of people near the baby	disjoint	org
18	13	5	A bald man standing to the side of a baby	The man stands near a mother.	disjoint	org
18	13	5	A bald man standing to the side of a mother	The man stands near a baby.	disjoint	org
18	13	6	A kid fetches a baby by a tree in the yard.	a kid gets a mother	disjoint	org
18	13	6	A kid fetches a mother by a tree in the yard.	a kid gets a baby	disjoint	org
18	13	7	A green frog buys a baby from a stand.	There is a green frog buying a mother	disjoint	org
18	13	7	A green frog buys a mother from a stand.	There is a green frog buying a baby	disjoint	org
18	13	8	A baby	A mother	disjoint	org
18	13	8	A mother	A baby	disjoint	org
19	14	0	The background is photographed with a camera	There is a light present	disjoint	org
19	14	0	The light is photographed with a camera	There is a background present	disjoint	org
19	14	1	The background is in the water	The light is wet	disjoint	org
19	14	1	The light is in the water	The background is wet	disjoint	org
19	14	2	A background is outside near a campfire at night	There is a light outside	disjoint	org
19	14	2	A light is outside near a campfire at night	There is a background outside	disjoint	org
19	14	3	A young woman is looking at a background with a binocular	A light is looked at by a woman	disjoint	org
19	14	3	A young woman is looking at a light with a binocular	A background is looked at by a woman	disjoint	org
19	14	4	Several people are moving towards the background	There is a group of people near the light	disjoint	org
19	14	4	Several people are moving towards the light	There is a group of people near the background	disjoint	org
19	14	5	A bald man standing to the side of a background	The man stands near a light.	disjoint	org
19	14	5	A bald man standing to the side of a light	The man stands near a background.	disjoint	org
19	14	6	A kid fetches a background by a tree in the yard.	a kid gets a light	disjoint	org
19	14	6	A kid fetches a light by a tree in the yard.	a kid gets a background	disjoint	org
19	14	7	A green frog buys a background from a stand.	There is a green frog buying a light	disjoint	org
19	14	7	A green frog buys a light from a stand.	There is a green frog buying a background	disjoint	org
19	14	8	A background	A light	disjoint	org
19	14	8	A light	A background	disjoint	org
20	15	0	The ball is photographed with a camera	There is a basketball present	reverseentailment	org
20	15	0	The basketball is photographed with a camera	There is a ball present	reverseentailment	org
20	15	1	The ball is in the water	The basketball is wet	reverseentailment	org
20	15	1	The basketball is in the water	The ball is wet	reverseentailment	org
20	15	2	A ball is outside near a campfire at night	There is a basketball outside	reverseentailment	org
20	15	2	A basketball is outside near a campfire at night	There is a ball outside	reverseentailment	org
20	15	3	A young woman is looking at a ball with a binocular	A basketball is looked at by a woman	reverseentailment	org
20	15	3	A young woman is looking at a basketball with a binocular	A ball is looked at by a woman	reverseentailment	org
20	15	4	Several people are moving towards the ball	There is a group of people near the basketball	reverseentailment	org
20	15	4	Several people are moving towards the basketball	There is a group of people near the ball	reverseentailment	org
20	15	5	A bald man standing to the side of a ball	The man stands near a basketball.	reverseentailment	org
20	15	5	A bald man standing to the side of a basketball	The man stands near a ball.	reverseentailment	org
20	15	6	A kid fetches a ball by a tree in the yard.	a kid gets a basketball	reverseentailment	org
20	15	6	A kid fetches a basketball by a tree in the yard.	a kid gets a ball	reverseentailment	org
20	15	7	A green frog buys a ball from a stand.	There is a green frog buying a basketball	reverseentailment	org
20	15	7	A green frog buys a basketball from a stand.	There is a green frog buying a ball	reverseentailment	org
20	15	8	A ball	A basketball	reverseentailment	org
20	15	8	A basketball	A ball	reverseentailment	org
21	16	0	The ball is photographed with a camera	There is a mitt present	disjoint	org
21	16	0	The mitt is photographed with a camera	There is a ball present	disjoint	org
21	16	1	The ball is in the water	The mitt is wet	disjoint	org
21	16	1	The mitt is in the water	The ball is wet	disjoint	org
21	16	2	A ball is outside near a campfire at night	There is a mitt outside	disjoint	org
21	16	2	A mitt is outside near a campfire at night	There is a ball outside	disjoint	org
21	16	3	A young woman is looking at a ball with a binocular	A mitt is looked at by a woman	disjoint	org
21	16	3	A young woman is looking at a mitt with a binocular	A ball is looked at by a woman	disjoint	org
21	16	4	Several people are moving towards the ball	There is a group of people near the mitt	disjoint	org
21	16	4	Several people are moving towards the mitt	There is a group of people near the ball	disjoint	org
21	16	5	A bald man standing to the side of a ball	The man stands near a mitt.	disjoint	org
21	16	5	A bald man standing to the side of a mitt	The man stands near a ball.	disjoint	org
21	16	6	A kid fetches a ball by a tree in the yard.	a kid gets a mitt	disjoint	org
21	16	6	A kid fetches a mitt by a tree in the yard.	a kid gets a ball	disjoint	org
21	16	7	A green frog buys a ball from a stand.	There is a green frog buying a mitt	disjoint	org
21	16	7	A green frog buys a mitt from a stand.	There is a green frog buying a ball	disjoint	org
21	16	8	A ball	A mitt	disjoint	org
21	16	8	A mitt	A ball	disjoint	org
22	17	0	The bank is photographed with a camera	There is a river present	disjoint	org
22	17	0	The river is photographed with a camera	There is a bank present	disjoint	org
22	17	1	The bank is in the water	The river is wet	disjoint	org
