CombID	SenID	templatenum	prem	hyp	label
3	3	5	A bald man standing to the side of a adult	The man stands near a mother.	reverseentailment
3	3	5	A bald man standing to the side of a mother	The man stands near a adult.	reverseentailment
3	3	6	A kid fetches a adult by a tree in the yard.	a kid gets a mother	reverseentailment
3	3	6	A kid fetches a mother by a tree in the yard.	a kid gets a adult	reverseentailment
3	3	7	A green frog buys a adult from a stand.	There is a green frog buying a mother	reverseentailment
3	3	7	A green frog buys a mother from a stand.	There is a green frog buying a adult	reverseentailment
3	3	8	A adult	A mother	reverseentailment
3	3	8	A mother	A adult	reverseentailment
4	4	0	The aircraft is photographed with a camera	There is a base present	disjoint
4	4	0	The base is photographed with a camera	There is a aircraft present	disjoint
4	4	1	The aircraft is in the water	The base is wet	disjoint
4	4	1	The base is in the water	The aircraft is wet	disjoint
4	4	2	A aircraft is outside near a campfire at night	There is a base outside	disjoint
4	4	2	A base is outside near a campfire at night	There is a aircraft outside	disjoint
4	4	3	A young woman is looking at a aircraft with a binocular	A base is looked at by a woman	disjoint
4	4	3	A young woman is looking at a base with a binocular	A aircraft is looked at by a woman	disjoint
4	4	4	Several people are moving towards the aircraft	There is a group of people near the base	disjoint
4	4	4	Several people are moving towards the base	There is a group of people near the aircraft	disjoint
4	4	5	A bald man standing to the side of a aircraft	The man stands near a base.	disjoint
4	4	5	A bald man standing to the side of a base	The man stands near a aircraft.	disjoint
4	4	6	A kid fetches a aircraft by a tree in the yard.	a kid gets a base	disjoint
4	4	6	A kid fetches a base by a tree in the yard.	a kid gets a aircraft	disjoint
4	4	7	A green frog buys a aircraft from a stand.	There is a green frog buying a base	disjoint
4	4	7	A green frog buys a base from a stand.	There is a green frog buying a aircraft	disjoint
4	4	8	A aircraft	A base	disjoint
4	4	8	A base	A aircraft	disjoint
5	4	0	The aircraft is photographed with a camera	There is a power bases present	disjoint
5	4	0	The power bases is photographed with a camera	There is a aircraft present	disjoint
5	4	1	The aircraft is in the water	The power bases is wet	disjoint
5	4	1	The power bases is in the water	The aircraft is wet	disjoint
5	4	2	A aircraft is outside near a campfire at night	There is a power bases outside	disjoint
5	4	2	A power bases is outside near a campfire at night	There is a aircraft outside	disjoint
5	4	3	A young woman is looking at a aircraft with a binocular	A power bases is looked at by a woman	disjoint
5	4	3	A young woman is looking at a power bases with a binocular	A aircraft is looked at by a woman	disjoint
5	4	4	Several people are moving towards the aircraft	There is a group of people near the power bases	disjoint
5	4	4	Several people are moving towards the power bases	There is a group of people near the aircraft	disjoint
5	4	5	A bald man standing to the side of a aircraft	The man stands near a power bases.	disjoint
5	4	5	A bald man standing to the side of a power bases	The man stands near a aircraft.	disjoint
5	4	6	A kid fetches a aircraft by a tree in the yard.	a kid gets a power bases	disjoint
5	4	6	A kid fetches a power bases by a tree in the yard.	a kid gets a aircraft	disjoint
5	4	7	A green frog buys a aircraft from a stand.	There is a green frog buying a power bases	disjoint
5	4	7	A green frog buys a power bases from a stand.	There is a green frog buying a aircraft	disjoint
5	4	8	A aircraft	A power bases	disjoint
5	4	8	A power bases	A aircraft	disjoint
6	5	0	The aircraft is photographed with a camera	There is a plane present	reverseentailment
6	5	0	The plane is photographed with a camera	There is a aircraft present	reverseentailment
6	5	1	The aircraft is in the water	The plane is wet	reverseentailment
6	5	1	The plane is in the water	The aircraft is wet	reverseentailment
6	5	2	A aircraft is outside near a campfire at night	There is a plane outside	reverseentailment
6	5	2	A plane is outside near a campfire at night	There is a aircraft outside	reverseentailment
6	5	3	A young woman is looking at a aircraft with a binocular	A plane is looked at by a woman	reverseentailment
6	5	3	A young woman is looking at a plane with a binocular	A aircraft is looked at by a woman	reverseentailment
6	5	4	Several people are moving towards the aircraft	There is a group of people near the plane	reverseentailment
6	5	4	Several people are moving towards the plane	There is a group of people near the aircraft	reverseentailment
6	5	5	A bald man standing to the side of a aircraft	The man stands near a plane.	reverseentailment
6	5	5	A bald man standing to the side of a plane	The man stands near a aircraft.	reverseentailment
6	5	6	A kid fetches a aircraft by a tree in the yard.	a kid gets a plane	reverseentailment
6	5	6	A kid fetches a plane by a tree in the yard.	a kid gets a aircraft	reverseentailment
6	5	7	A green frog buys a aircraft from a stand.	There is a green frog buying a plane	reverseentailment
6	5	7	A green frog buys a plane from a stand.	There is a green frog buying a aircraft	reverseentailment
6	5	8	A aircraft	A plane	reverseentailment
6	5	8	A plane	A aircraft	reverseentailment
7	5	0	The aircraft is photographed with a camera	There is a spy plane present	reverseentailment
7	5	0	The spy plane is photographed with a camera	There is a aircraft present	reverseentailment
7	5	1	The aircraft is in the water	The spy plane is wet	reverseentailment
7	5	1	The spy plane is in the water	The aircraft is wet	reverseentailment
7	5	2	A aircraft is outside near a campfire at night	There is a spy plane outside	reverseentailment
7	5	2	A spy plane is outside near a campfire at night	There is a aircraft outside	reverseentailment
7	5	3	A young woman is looking at a aircraft with a binocular	A spy plane is looked at by a woman	reverseentailment
7	5	3	A young woman is looking at a spy plane with a binocular	A aircraft is looked at by a woman	reverseentailment
7	5	4	Several people are moving towards the aircraft	There is a group of people near the spy plane	reverseentailment
7	5	4	Several people are moving towards the spy plane	There is a group of people near the aircraft	reverseentailment
7	5	5	A bald man standing to the side of a aircraft	The man stands near a spy plane.	reverseentailment
7	5	5	A bald man standing to the side of a spy plane	The man stands near a aircraft.	reverseentailment
7	5	6	A kid fetches a aircraft by a tree in the yard.	a kid gets a spy plane	reverseentailment
7	5	6	A kid fetches a spy plane by a tree in the yard.	a kid gets a aircraft	reverseentailment
7	5	7	A green frog buys a aircraft from a stand.	There is a green frog buying a spy plane	reverseentailment
7	5	7	A green frog buys a spy plane from a stand.	There is a green frog buying a aircraft	reverseentailment
7	5	8	A aircraft	A spy plane	reverseentailment
7	5	8	A spy plane	A aircraft	reverseentailment
8	6	0	The air is photographed with a camera	There is a airplane present	disjoint
8	6	0	The airplane is photographed with a camera	There is a air present	disjoint
8	6	1	The air is in the water	The airplane is wet	disjoint
8	6	1	The airplane is in the water	The air is wet	disjoint
8	6	2	A air is outside near a campfire at night	There is a airplane outside	disjoint
8	6	2	A airplane is outside near a campfire at night	There is a air outside	disjoint
8	6	3	A young woman is looking at a air with a binocular	A airplane is looked at by a woman	disjoint
8	6	3	A young woman is looking at a airplane with a binocular	A air is looked at by a woman	disjoint
8	6	4	Several people are moving towards the air	There is a group of people near the airplane	disjoint
8	6	4	Several people are moving towards the airplane	There is a group of people near the air	disjoint
8	6	5	A bald man standing to the side of a air	The man stands near a airplane.	disjoint
8	6	5	A bald man standing to the side of a airplane	The man stands near a air.	disjoint
8	6	6	A kid fetches a air by a tree in the yard.	a kid gets a airplane	disjoint
8	6	6	A kid fetches a airplane by a tree in the yard.	a kid gets a air	disjoint
8	6	7	A green frog buys a air from a stand.	There is a green frog buying a airplane	disjoint
8	6	7	A green frog buys a airplane from a stand.	There is a green frog buying a air	disjoint
8	6	8	A air	A airplane	disjoint
8	6	8	A airplane	A air	disjoint
9	6	0	The airplane home is photographed with a camera	There is a air present	disjoint
9	6	0	The air is photographed with a camera	There is a airplane home present	disjoint
9	6	1	The airplane home is in the water	The air is wet	disjoint
9	6	1	The air is in the water	The airplane home is wet	disjoint
9	6	2	A airplane home is outside near a campfire at night	There is a air outside	disjoint
9	6	2	A air is outside near a campfire at night	There is a airplane home outside	disjoint
9	6	3	A young woman is looking at a airplane home with a binocular	A air is looked at by a woman	disjoint
9	6	3	A young woman is looking at a air with a binocular	A airplane home is looked at by a woman	disjoint
9	6	4	Several people are moving towards the airplane home	There is a group of people near the air	disjoint
9	6	4	Several people are moving towards the air	There is a group of people near the airplane home	disjoint
9	6	5	A bald man standing to the side of a airplane home	The man stands near a air.	disjoint
9	6	5	A bald man standing to the side of a air	The man stands near a airplane home.	disjoint
9	6	6	A kid fetches a airplane home by a tree in the yard.	a kid gets a air	disjoint
9	6	6	A kid fetches a air by a tree in the yard.	a kid gets a airplane home	disjoint
9	6	7	A green frog buys a airplane home from a stand.	There is a green frog buying a air	disjoint
9	6	7	A green frog buys a air from a stand.	There is a green frog buying a airplane home	disjoint
9	6	8	A airplane home	A air	disjoint
9	6	8	A air	A airplane home	disjoint
10	8	0	The animal is photographed with a camera	There is a cat present	reverseentailment
10	8	0	The cat is photographed with a camera	There is a animal present	reverseentailment
10	8	1	The animal is in the water	The cat is wet	reverseentailment
10	8	1	The cat is in the water	The animal is wet	reverseentailment
10	8	2	A animal is outside near a campfire at night	There is a cat outside	reverseentailment
10	8	2	A cat is outside near a campfire at night	There is a animal outside	reverseentailment
10	8	3	A young woman is looking at a animal with a binocular	A cat is looked at by a woman	reverseentailment
10	8	3	A young woman is looking at a cat with a binocular	A animal is looked at by a woman	reverseentailment
10	8	4	Several people are moving towards the animal	There is a group of people near the cat	reverseentailment
10	8	4	Several people are moving towards the cat	There is a group of people near the animal	reverseentailment
10	8	5	A bald man standing to the side of a animal	The man stands near a cat.	reverseentailment
10	8	5	A bald man standing to the side of a cat	The man stands near a animal.	reverseentailment
10	8	6	A kid fetches a animal by a tree in the yard.	a kid gets a cat	reverseentailment
10	8	6	A kid fetches a cat by a tree in the yard.	a kid gets a animal	reverseentailment
10	8	7	A green frog buys a animal from a stand.	There is a green frog buying a cat	reverseentailment
10	8	7	A green frog buys a cat from a stand.	There is a green frog buying a animal	reverseentailment
10	8	8	A animal	A cat	reverseentailment
10	8	8	A cat	A animal	reverseentailment
11	9	0	The animal is photographed with a camera	There is a snake present	reverseentailment
11	9	0	The snake is photographed with a camera	There is a animal present	reverseentailment
11	9	1	The animal is in the water	The snake is wet	reverseentailment
11	9	1	The snake is in the water	The animal is wet	reverseentailment
11	9	2	A animal is outside near a campfire at night	There is a snake outside	reverseentailment
11	9	2	A snake is outside near a campfire at night	There is a animal outside	reverseentailment
11	9	3	A young woman is looking at a animal with a binocular	A snake is looked at by a woman	reverseentailment
11	9	3	A young woman is looking at a snake with a binocular	A animal is looked at by a woman	reverseentailment
11	9	4	Several people are moving towards the animal	There is a group of people near the snake	reverseentailment
11	9	4	Several people are moving towards the snake	There is a group of people near the animal	reverseentailment
11	9	5	A bald man standing to the side of a animal	The man stands near a snake.	reverseentailment
11	9	5	A bald man standing to the side of a snake	The man stands near a animal.	reverseentailment
11	9	6	A kid fetches a animal by a tree in the yard.	a kid gets a snake	reverseentailment
11	9	6	A kid fetches a snake by a tree in the yard.	a kid gets a animal	reverseentailment
11	9	7	A green frog buys a animal from a stand.	There is a green frog buying a snake	reverseentailment
11	9	7	A green frog buys a snake from a stand.	There is a green frog buying a animal	reverseentailment
11	9	8	A animal	A snake	reverseentailment
11	9	8	A snake	A animal	reverseentailment
12	9	0	The animal health department is photographed with a camera	There is a snakes present	disjoint
12	9	0	The snakes is photographed with a camera	There is a animal health department present	disjoint
12	9	1	The animal health department is in the water	The snakes is wet	disjoint
12	9	1	The snakes is in the water	The animal health department is wet	disjoint
12	9	2	A animal health department is outside near a campfire at night	There is a snakes outside	disjoint
12	9	2	A snakes is outside near a campfire at night	There is a animal health department outside	disjoint
12	9	3	A young woman is looking at a animal health department with a binocular	A snakes is looked at by a woman	disjoint
12	9	3	A young woman is looking at a snakes with a binocular	A animal health department is looked at by a woman	disjoint
12	9	4	Several people are moving towards the animal health department	There is a group of people near the snakes	disjoint
12	9	4	Several people are moving towards the snakes	There is a group of people near the animal health department	disjoint
12	9	5	A bald man standing to the side of a animal health department	The man stands near a snakes.	disjoint
12	9	5	A bald man standing to the side of a snakes	The man stands near a animal health department.	disjoint
12	9	6	A kid fetches a animal health department by a tree in the yard.	a kid gets a snakes	disjoint
12	9	6	A kid fetches a snakes by a tree in the yard.	a kid gets a animal health department	disjoint
12	9	7	A green frog buys a animal health department from a stand.	There is a green frog buying a snakes	disjoint
12	9	7	A green frog buys a snakes from a stand.	There is a green frog buying a animal health department	disjoint
12	9	8	A animal health department	A snakes	disjoint
12	9	8	A snakes	A animal health department	disjoint
13	10	0	The automobile is photographed with a camera	There is a car present	synonym
13	10	0	The car is photographed with a camera	There is a automobile present	synonym
13	10	1	The automobile is in the water	The car is wet	synonym
13	10	1	The car is in the water	The automobile is wet	synonym
13	10	2	A automobile is outside near a campfire at night	There is a car outside	synonym
13	10	2	A car is outside near a campfire at night	There is a automobile outside	synonym
13	10	3	A young woman is looking at a automobile with a binocular	A car is looked at by a woman	synonym
13	10	3	A young woman is looking at a car with a binocular	A automobile is looked at by a woman	synonym
13	10	4	Several people are moving towards the automobile	There is a group of people near the car	synonym
13	10	4	Several people are moving towards the car	There is a group of people near the automobile	synonym
13	10	5	A bald man standing to the side of a automobile	The man stands near a car.	synonym
13	10	5	A bald man standing to the side of a car	The man stands near a automobile.	synonym
13	10	6	A kid fetches a automobile by a tree in the yard.	a kid gets a car	synonym
13	10	6	A kid fetches a car by a tree in the yard.	a kid gets a automobile	synonym
13	10	7	A green frog buys a automobile from a stand.	There is a green frog buying a car	synonym
13	10	7	A green frog buys a car from a stand.	There is a green frog buying a automobile	synonym
13	10	8	A automobile	A car	synonym
13	10	8	A car	A automobile	synonym
14	10	0	The mutual automobile insurance is photographed with a camera	There is a cars present	disjoint
14	10	0	The cars is photographed with a camera	There is a mutual automobile insurance present	disjoint
14	10	1	The mutual automobile insurance is in the water	The cars is wet	disjoint
14	10	1	The cars is in the water	The mutual automobile insurance is wet	disjoint
14	10	2	A mutual automobile insurance is outside near a campfire at night	There is a cars outside	disjoint
14	10	2	A cars is outside near a campfire at night	There is a mutual automobile insurance outside	disjoint
14	10	3	A young woman is looking at a mutual automobile insurance with a binocular	A cars is looked at by a woman	disjoint
14	10	3	A young woman is looking at a cars with a binocular	A mutual automobile insurance is looked at by a woman	disjoint
14	10	4	Several people are moving towards the mutual automobile insurance	There is a group of people near the cars	disjoint
14	10	4	Several people are moving towards the cars	There is a group of people near the mutual automobile insurance	disjoint
14	10	5	A bald man standing to the side of a mutual automobile insurance	The man stands near a cars.	disjoint
14	10	5	A bald man standing to the side of a cars	The man stands near a mutual automobile insurance.	disjoint
14	10	6	A kid fetches a mutual automobile insurance by a tree in the yard.	a kid gets a cars	disjoint
14	10	6	A kid fetches a cars by a tree in the yard.	a kid gets a mutual automobile insurance	disjoint
14	10	7	A green frog buys a mutual automobile insurance from a stand.	There is a green frog buying a cars	disjoint
14	10	7	A green frog buys a cars from a stand.	There is a green frog buying a mutual automobile insurance	disjoint
14	10	8	A mutual automobile insurance	A cars	disjoint
14	10	8	A cars	A mutual automobile insurance	disjoint
15	10	0	The automobile insurance is photographed with a camera	There is a flash cars present	disjoint
15	10	0	The flash cars is photographed with a camera	There is a automobile insurance present	disjoint
15	10	1	The automobile insurance is in the water	The flash cars is wet	disjoint
15	10	1	The flash cars is in the water	The automobile insurance is wet	disjoint
15	10	2	A automobile insurance is outside near a campfire at night	There is a flash cars outside	disjoint
15	10	2	A flash cars is outside near a campfire at night	There is a automobile insurance outside	disjoint
15	10	3	A young woman is looking at a automobile insurance with a binocular	A flash cars is looked at by a woman	disjoint
15	10	3	A young woman is looking at a flash cars with a binocular	A automobile insurance is looked at by a woman	disjoint
15	10	4	Several people are moving towards the automobile insurance	There is a group of people near the flash cars	disjoint
15	10	4	Several people are moving towards the flash cars	There is a group of people near the automobile insurance	disjoint
15	10	5	A bald man standing to the side of a automobile insurance	The man stands near a flash cars.	disjoint
15	10	5	A bald man standing to the side of a flash cars	The man stands near a automobile insurance.	disjoint
15	10	6	A kid fetches a automobile insurance by a tree in the yard.	a kid gets a flash cars	disjoint
15	10	6	A kid fetches a flash cars by a tree in the yard.	a kid gets a automobile insurance	disjoint
15	10	7	A green frog buys a automobile insurance from a stand.	There is a green frog buying a flash cars	disjoint
15	10	7	A green frog buys a flash cars from a stand.	There is a green frog buying a automobile insurance	disjoint
15	10	8	A automobile insurance	A flash cars	disjoint
15	10	8	A flash cars	A automobile insurance	disjoint
16	11	0	The baby is photographed with a camera	There is a child present	reverseentailment
16	11	0	The child is photographed with a camera	There is a baby present	reverseentailment
16	11	1	The baby is in the water	The child is wet	reverseentailment
16	11	1	The child is in the water	The baby is wet	reverseentailment
16	11	2	A baby is outside near a campfire at night	There is a child outside	reverseentailment
16	11	2	A child is outside near a campfire at night	There is a baby outside	reverseentailment
16	11	3	A young woman is looking at a baby with a binocular	A child is looked at by a woman	reverseentailment
16	11	3	A young woman is looking at a child with a binocular	A baby is looked at by a woman	reverseentailment
16	11	4	Several people are moving towards the baby	There is a group of people near the child	reverseentailment
16	11	4	Several people are moving towards the child	There is a group of people near the baby	reverseentailment
16	11	5	A bald man standing to the side of a baby	The man stands near a child.	reverseentailment
16	11	5	A bald man standing to the side of a child	The man stands near a baby.	reverseentailment
16	11	6	A kid fetches a baby by a tree in the yard.	a kid gets a child	reverseentailment
16	11	6	A kid fetches a child by a tree in the yard.	a kid gets a baby	reverseentailment
16	11	7	A green frog buys a baby from a stand.	There is a green frog buying a child	reverseentailment
16	11	7	A green frog buys a child from a stand.	There is a green frog buying a baby	reverseentailment
16	11	8	A baby	A child	reverseentailment
16	11	8	A child	A baby	reverseentailment
17	12	0	The baby is photographed with a camera	There is a kid present	alternation
17	12	0	The kid is photographed with a camera	There is a baby present	alternation
17	12	1	The baby is in the water	The kid is wet	alternation
17	12	1	The kid is in the water	The baby is wet	alternation
17	12	2	A baby is outside near a campfire at night	There is a kid outside	alternation
17	12	2	A kid is outside near a campfire at night	There is a baby outside	alternation
17	12	3	A young woman is looking at a baby with a binocular	A kid is looked at by a woman	alternation
17	12	3	A young woman is looking at a kid with a binocular	A baby is looked at by a woman	alternation
17	12	4	Several people are moving towards the baby	There is a group of people near the kid	alternation
17	12	4	Several people are moving towards the kid	There is a group of people near the baby	alternation
17	12	5	A bald man standing to the side of a baby	The man stands near a kid.	alternation
17	12	5	A bald man standing to the side of a kid	The man stands near a baby.	alternation
17	12	6	A kid fetches a baby by a tree in the yard.	a kid gets a kid	alternation
17	12	6	A kid fetches a kid by a tree in the yard.	a kid gets a baby	alternation
17	12	7	A green frog buys a baby from a stand.	There is a green frog buying a kid	alternation
17	12	7	A green frog buys a kid from a stand.	There is a green frog buying a baby	alternation
17	12	8	A baby	A kid	alternation
17	12	8	A kid	A baby	alternation
18	13	0	The baby is photographed with a camera	There is a mother present	alternation
18	13	0	The mother is photographed with a camera	There is a baby present	alternation
18	13	1	The baby is in the water	The mother is wet	alternation
18	13	1	The mother is in the water	The baby is wet	alternation
18	13	2	A baby is outside near a campfire at night	There is a mother outside	alternation
18	13	2	A mother is outside near a campfire at night	There is a baby outside	alternation
18	13	3	A young woman is looking at a baby with a binocular	A mother is looked at by a woman	alternation
18	13	3	A young woman is looking at a mother with a binocular	A baby is looked at by a woman	alternation
18	13	4	Several people are moving towards the baby	There is a group of people near the mother	alternation
18	13	4	Several people are moving towards the mother	There is a group of people near the baby	alternation
18	13	5	A bald man standing to the side of a baby	The man stands near a mother.	alternation
18	13	5	A bald man standing to the side of a mother	The man stands near a baby.	alternation
18	13	6	A kid fetches a baby by a tree in the yard.	a kid gets a mother	alternation
18	13	6	A kid fetches a mother by a tree in the yard.	a kid gets a baby	alternation
18	13	7	A green frog buys a baby from a stand.	There is a green frog buying a mother	alternation
18	13	7	A green frog buys a mother from a stand.	There is a green frog buying a baby	alternation
18	13	8	A baby	A mother	alternation
18	13	8	A mother	A baby	alternation
19	14	0	The background is photographed with a camera	There is a light present	disjoint
19	14	0	The light is photographed with a camera	There is a background present	disjoint
19	14	1	The background is in the water	The light is wet	disjoint
19	14	1	The light is in the water	The background is wet	disjoint
19	14	2	A background is outside near a campfire at night	There is a light outside	disjoint
19	14	2	A light is outside near a campfire at night	There is a background outside	disjoint
19	14	3	A young woman is looking at a background with a binocular	A light is looked at by a woman	disjoint
19	14	3	A young woman is looking at a light with a binocular	A background is looked at by a woman	disjoint
19	14	4	Several people are moving towards the background	There is a group of people near the light	disjoint
19	14	4	Several people are moving towards the light	There is a group of people near the background	disjoint
19	14	5	A bald man standing to the side of a background	The man stands near a light.	disjoint
19	14	5	A bald man standing to the side of a light	The man stands near a background.	disjoint
19	14	6	A kid fetches a background by a tree in the yard.	a kid gets a light	disjoint
19	14	6	A kid fetches a light by a tree in the yard.	a kid gets a background	disjoint
19	14	7	A green frog buys a background from a stand.	There is a green frog buying a light	disjoint
19	14	7	A green frog buys a light from a stand.	There is a green frog buying a background	disjoint
19	14	8	A background	A light	disjoint
19	14	8	A light	A background	disjoint
20	15	0	The ball is photographed with a camera	There is a basketball present	reverseentailment
20	15	0	The basketball is photographed with a camera	There is a ball present	reverseentailment
20	15	1	The ball is in the water	The basketball is wet	reverseentailment
20	15	1	The basketball is in the water	The ball is wet	reverseentailment
20	15	2	A ball is outside near a campfire at night	There is a basketball outside	reverseentailment
20	15	2	A basketball is outside near a campfire at night	There is a ball outside	reverseentailment
20	15	3	A young woman is looking at a ball with a binocular	A basketball is looked at by a woman	reverseentailment
20	15	3	A young woman is looking at a basketball with a binocular	A ball is looked at by a woman	reverseentailment
20	15	4	Several people are moving towards the ball	There is a group of people near the basketball	reverseentailment
20	15	4	Several people are moving towards the basketball	There is a group of people near the ball	reverseentailment
20	15	5	A bald man standing to the side of a ball	The man stands near a basketball.	reverseentailment
20	15	5	A bald man standing to the side of a basketball	The man stands near a ball.	reverseentailment
20	15	6	A kid fetches a ball by a tree in the yard.	a kid gets a basketball	reverseentailment
20	15	6	A kid fetches a basketball by a tree in the yard.	a kid gets a ball	reverseentailment
20	15	7	A green frog buys a ball from a stand.	There is a green frog buying a basketball	reverseentailment
20	15	7	A green frog buys a basketball from a stand.	There is a green frog buying a ball	reverseentailment
20	15	8	A ball	A basketball	reverseentailment
20	15	8	A basketball	A ball	reverseentailment
21	16	0	The ball is photographed with a camera	There is a mitt present	disjoint
21	16	0	The mitt is photographed with a camera	There is a ball present	disjoint
21	16	1	The ball is in the water	The mitt is wet	disjoint
21	16	1	The mitt is in the water	The ball is wet	disjoint
21	16	2	A ball is outside near a campfire at night	There is a mitt outside	disjoint
21	16	2	A mitt is outside near a campfire at night	There is a ball outside	disjoint
21	16	3	A young woman is looking at a ball with a binocular	A mitt is looked at by a woman	disjoint
21	16	3	A young woman is looking at a mitt with a binocular	A ball is looked at by a woman	disjoint
21	16	4	Several people are moving towards the ball	There is a group of people near the mitt	disjoint
21	16	4	Several people are moving towards the mitt	There is a group of people near the ball	disjoint
21	16	5	A bald man standing to the side of a ball	The man stands near a mitt.	disjoint
21	16	5	A bald man standing to the side of a mitt	The man stands near a ball.	disjoint
21	16	6	A kid fetches a ball by a tree in the yard.	a kid gets a mitt	disjoint
21	16	6	A kid fetches a mitt by a tree in the yard.	a kid gets a ball	disjoint
21	16	7	A green frog buys a ball from a stand.	There is a green frog buying a mitt	disjoint
21	16	7	A green frog buys a mitt from a stand.	There is a green frog buying a ball	disjoint
21	16	8	A ball	A mitt	disjoint
21	16	8	A mitt	A ball	disjoint
22	17	0	The bank is photographed with a camera	There is a river present	disjoint
22	17	0	The river is photographed with a camera	There is a bank present	disjoint
22	17	1	The bank is in the water	The river is wet	disjoint
22	17	1	The river is in the water	The bank is wet	disjoint
22	17	2	A bank is outside near a campfire at night	There is a river outside	disjoint
22	17	2	A river is outside near a campfire at night	There is a bank outside	disjoint
22	17	3	A young woman is looking at a bank with a binocular	A river is looked at by a woman	disjoint
22	17	3	A young woman is looking at a river with a binocular	A bank is looked at by a woman	disjoint
22	17	4	Several people are moving towards the bank	There is a group of people near the river	disjoint
22	17	4	Several people are moving towards the river	There is a group of people near the bank	disjoint
22	17	5	A bald man standing to the side of a bank	The man stands near a river.	disjoint
22	17	5	A bald man standing to the side of a river	The man stands near a bank.	disjoint
22	17	6	A kid fetches a bank by a tree in the yard.	a kid gets a river	disjoint
22	17	6	A kid fetches a river by a tree in the yard.	a kid gets a bank	disjoint
22	17	7	A green frog buys a bank from a stand.	There is a green frog buying a river	disjoint
22	17	7	A green frog buys a river from a stand.	There is a green frog buying a bank	disjoint
22	17	8	A bank	A river	disjoint
22	17	8	A river	A bank	disjoint
23	18	0	The baseball is photographed with a camera	There is a football present	alternation
23	18	0	The football is photographed with a camera	There is a baseball present	alternation
23	18	1	The baseball is in the water	The football is wet	alternation
23	18	1	The football is in the water	The baseball is wet	alternation
23	18	2	A baseball is outside near a campfire at night	There is a football outside	alternation
23	18	2	A football is outside near a campfire at night	There is a baseball outside	alternation
23	18	3	A young woman is looking at a baseball with a binocular	A football is looked at by a woman	alternation
23	18	3	A young woman is looking at a football with a binocular	A baseball is looked at by a woman	alternation
23	18	4	Several people are moving towards the baseball	There is a group of people near the football	alternation
23	18	4	Several people are moving towards the football	There is a group of people near the baseball	alternation
23	18	5	A bald man standing to the side of a baseball	The man stands near a football.	alternation
