CombID	ProbID	merge_tag	W1_tag	W2_tag	W1	W2	L1	L2
48	24	NP	n	NN	black jacket	bicycle	black jacket	bicycle
49	24	NP	n	NN	black jacket	wheel	black jacket	wheel
50	24	NP	n	n	black jacket	skilled person	black jacket	skilled person
51	24	NP	n	n	black jacket	one wheel	black jacket	one wheel
52	24	phrasal_IN	pp	(s:ng\np)\(s:ng\np)	on a motorbike	on one wheel	on a motorbike	on one wheel
53	105	NP	NNS	NNS	children	girls	child	girl
54	105	NP	NNS	NNS	children	backbends	child	backbend
55	105	NP	NNS	NNS	children	outdoors	child	outdoors
56	105	NP	NNS	n	children	Four girls	child	four girl
57	105	VP	VBG	VBG	doing	playing	do	play
58	105	NP	NNS	NNS	backbends	girls	backbend	girl
59	105	NP	NNS	NNS	backbends	outdoors	backbend	outdoors
60	105	NP	NNS	n	backbends	Four girls	backbend	four girl
61	105	NP	NN	NNS	gym	girls	gym	girl
62	105	NP	NN	NNS	gym	backbends	gym	backbend
63	105	NP	NN	NNS	gym	outdoors	gym	outdoors
64	105	NP	NN	n	gym	Four girls	gym	four girl
65	105	NP	n	NNS	Four children	girls	four child	girl
66	105	NP	n	NNS	Four children	backbends	four child	backbend
67	105	NP	n	NNS	Four children	outdoors	four child	outdoors
68	105	NP	n	n	Four children	Four girls	four child	four girl
69	116	NP	NN	NNS	player	teams	player	team
70	116	NP	NN	NN	player	football	player	football
71	116	NP	NN	NN	player	match	player	match
72	116	NP	NN	n	player	Two teams	player	two team
73	116	NP	NN	n	player	football match	player	football match
74	116	VP	VBG	VBG	throwing	competing	throw	compete
75	116	NP	NN	NNS	ball	teams	ball	team
76	116	NP	NN	NN	ball	football	ball	football
77	116	NP	NN	NN	ball	match	ball	match
78	116	NP	NN	n	ball	Two teams	ball	two team
79	116	NP	NN	n	ball	football match	ball	football match
80	119	NP	NNS	NN	children	hut	child	hut
81	119	NP	NNS	n	children	Five children	child	five child
82	119	NP	NNS	n	children	wooden hut	child	wooden hut
83	119	NP	NN	NNS	front	children	front	child
84	119	NP	NN	NN	front	hut	front	hut
85	119	NP	NN	n	front	Five children	front	five child
86	119	NP	NN	n	front	wooden hut	front	wooden hut
87	119	NP	NN	NNS	hut	children	hut	child
88	119	NP	NN	n	hut	Five children	hut	five child
89	119	NP	NN	n	hut	wooden hut	hut	wooden hut
90	119	NP	n	NNS	Five children	children	five child	child
91	119	NP	n	NN	Five children	hut	five child	hut
92	119	NP	n	n	Five children	wooden hut	five child	wooden hut
93	119	NP	n	NNS	front of a wooden hut	children	front of a wooden hut	child
94	119	NP	n	NN	front of a wooden hut	hut	front of a wooden hut	hut
95	119	NP	n	n	front of a wooden hut	Five children	front of a wooden hut	five child
96	119	NP	n	n	front of a wooden hut	wooden hut	front of a wooden hut	wooden hut
97	119	NP	n	NNS	wooden hut	children	wooden hut	child
98	119	NP	n	NN	wooden hut	hut	wooden hut	hut
99	119	NP	n	n	wooden hut	Five children	wooden hut	five child
100	185	phrasal_JJ	JJ	JJ	Few	large	few	large
101	185	phrasal_JJ	JJ	JJ	Few	Asian	few	asian
102	185	NP	NNS	NN	people	group	people	group
103	185	NP	NNS	NN	people	restaurant	people	restaurant
104	185	NP	NNS	n	people	large group of Asian people	people	large group of asian people
105	185	NP	NNS	n	people	group of Asian people	people	group of asian people
106	185	NP	NNS	n	people	Asian people	people	asian people
107	185	phrasal_JJ	JJ	JJ	red	large	red	large
108	185	phrasal_JJ	JJ	JJ	red	Asian	red	asian
109	185	NP	NNS	NN	tables	group	table	group
110	185	NP	NNS	NNS	tables	people	table	people
111	185	NP	NNS	NN	tables	restaurant	table	restaurant
112	185	NP	NNS	n	tables	large group of Asian people	table	large group of asian people
113	185	NP	NNS	n	tables	group of Asian people	table	group of asian people
114	185	NP	NNS	n	tables	Asian people	table	asian people
115	185	NP	NN	NN	restaurant	group	restaurant	group
116	185	NP	NN	NNS	restaurant	people	restaurant	people
117	185	NP	NN	n	restaurant	large group of Asian people	restaurant	large group of asian people
118	185	NP	NN	n	restaurant	group of Asian people	restaurant	group of asian people
119	185	NP	NN	n	restaurant	Asian people	restaurant	asian people
120	185	NP	NNS	NN	lights	group	light	group
121	185	NP	NNS	NNS	lights	people	light	people
122	185	NP	NNS	NN	lights	restaurant	light	restaurant
123	185	NP	NNS	n	lights	large group of Asian people	light	large group of asian people
124	185	NP	NNS	n	lights	group of Asian people	light	group of asian people
125	185	NP	NNS	n	lights	Asian people	light	asian people
126	185	NP	n	NN	Few people	group	few people	group
127	185	NP	n	NNS	Few people	people	few people	people
128	185	NP	n	NN	Few people	restaurant	few people	restaurant
129	185	NP	n	n	Few people	large group of Asian people	few people	large group of asian people
130	185	NP	n	n	Few people	group of Asian people	few people	group of asian people
131	185	NP	n	n	Few people	Asian people	few people	asian people
132	185	phrasal_IN	pp	pp	at red tables	at a restaurant	at red table	at a restaurant
133	185	NP	n	NN	red tables	group	red table	group
134	185	NP	n	NNS	red tables	people	red table	people
135	185	NP	n	NN	red tables	restaurant	red table	restaurant
136	185	NP	n	n	red tables	large group of Asian people	red table	large group of asian people
137	185	NP	n	n	red tables	group of Asian people	red table	group of asian people
138	185	NP	n	n	red tables	Asian people	red table	asian people
139	185	phrasal_IN	(s:ng\np)\(s:ng\np)	pp	in a restaurant	at a restaurant	in a restaurant	at a restaurant
140	185	phrasal_IN	(s:ng\np)\(s:ng\np)	pp	without lights	at a restaurant	without light	at a restaurant
141	197	NP	NN	NN	motorcycle	seat	motorcycle	seat
142	197	NP	NN	NN	motorcycle	vehicle	motorcycle	vehicle
143	197	NP	NN	n	motorcycle	seat of the vehicle	motorcycle	seat of the vehicle
144	197	VP	VBG	VBG	standing	riding	stand	ride
145	197	NP	NN	NN	seat	motorcycle	seat	motorcycle
146	197	NP	NN	NN	seat	vehicle	seat	vehicle
147	197	NP	NN	n	seat	seat of the vehicle	seat	seat of the vehicle
148	197	NP	n	NN	black and white motorcycle	motorcycle	black and white motorcycle	motorcycle
149	197	NP	n	NN	black and white motorcycle	seat	black and white motorcycle	seat
150	197	NP	n	NN	black and white motorcycle	vehicle	black and white motorcycle	vehicle
151	197	NP	n	n	black and white motorcycle	seat of the vehicle	black and white motorcycle	seat of the vehicle
152	211	NP	NNS	NN	dogs	plant	dog	plant
153	211	NP	NNS	n	dogs	Two dogs	dog	two dog
154	211	NP	NN	NNS	tree	dogs	tree	dog
155	211	NP	NN	NN	tree	plant	tree	plant
156	211	NP	NN	n	tree	Two dogs	tree	two dog
157	211	NP	n	NNS	Two dogs	dogs	two dog	dog
158	211	NP	n	NN	Two dogs	plant	two dog	plant
159	211	phrasal_IN	(s:ng\np)\(s:ng\np)	(s:ng\np)\(s:ng\np)	by a tree	by a plant	by a tree	by a plant
160	218	NP	NN	NNS	girl	clothes	girl	clothes
161	218	NP	NN	n	girl	white clothes	girl	white clothes
162	218	VP	VBG	VBG	dancing	wearing	dance	wear
163	218	NP	n	NN	girl in white	girl	girl in white	girl
164	218	NP	n	NNS	girl in white	clothes	girl in white	clothes
165	218	NP	n	n	girl in white	white clothes	girl in white	white clothes
166	219	NP	NN	n	girl	girl in white	girl	girl in white
167	219	NP	NN	NN	dancing	girl	dancing	girl
168	219	NP	NN	n	dancing	girl in white	dancing	girl in white
169	219	NP	n	NN	girl in white dancing	girl	girl in white dancing	girl
170	219	NP	n	n	girl in white dancing	girl in white	girl in white dancing	girl in white
171	219	NP	n	NN	white dancing	girl	white dancing	girl
172	219	NP	n	n	white dancing	girl in white	white dancing	girl in white
173	225	NP	NN	NN	equipment	girl	equipment	girl
174	225	NP	NN	n	equipment	girl in white	equipment	girl in white
175	225	NP	NN	NN	front	girl	front	girl
176	225	NP	NN	n	front	girl in white	front	girl in white
177	225	phrasal_JJ	JJ	JJ	blond	white	blond	white
178	225	phrasal_JJ	JJ	JJ	sound	white	sound	white
179	225	NP	n	NN	blond dancing girl	girl	blond dancing girl	girl
180	225	NP	n	n	blond dancing girl	girl in white	blond dancing girl	girl in white
181	228	NP	NN	NN	girl	front	girl	front
182	228	NP	NN	NN	girl	sound	girl	sound
183	228	NP	NN	NN	girl	equipment	girl	equipment
184	228	NP	NN	n	girl	blond girl	girl	blond girl
185	228	NP	NN	n	girl	front of the sound equipment	girl	front of the sound equipment
186	228	NP	NN	n	girl	sound equipment	girl	sound equipment
187	228	phrasal_JJ	JJ	JJ	white	blond	white	blond
188	228	NP	n	NN	girl in white	front	girl in white	front
189	228	NP	n	NN	girl in white	sound	girl in white	sound
190	228	NP	n	NN	girl in white	equipment	girl in white	equipment
191	228	NP	n	n	girl in white	blond girl	girl in white	blond girl
192	228	NP	n	n	girl in white	front of the sound equipment	girl in white	front of the sound equipment
193	228	NP	n	n	girl in white	sound equipment	girl in white	sound equipment
194	236	NP	NNS	NN	children	man	child	man
195	236	NP	NNS	NNS	children	kids	child	kid
196	236	NP	NNS	n	children	Asian man	child	asian man
197	236	NP	NNS	n	children	three kids	child	three kid
198	236	NP	NN	NN	family	man	family	man
199	236	NP	NN	NNS	family	kids	family	kid
200	236	NP	NN	n	family	Asian man	family	asian man
201	236	NP	NN	n	family	three kids	family	three kid
202	236	VP	VBG	VBG	playing	dancing	play	dance
203	236	VP	VBG	VBG	playing	looking	play	look
204	236	VP	VBG	VBG	waiting	dancing	wait	dance
205	236	VP	VBG	VBG	waiting	looking	wait	look
206	236	NP	n	NN	children of a family	man	child of a family	man
207	236	NP	n	NNS	children of a family	kids	child of a family	kid
208	236	NP	n	n	children of a family	Asian man	child of a family	asian man
209	236	NP	n	n	children of a family	three kids	child of a family	three kid
210	253	NP	NN	NN	hiker	top	hiker	top
211	253	NP	NN	NN	hiker	mountain	hiker	mountain
212	253	NP	NN	n	hiker	top of the mountain	hiker	top of the mountain
213	253	NP	NN	NN	top	hiker	top	hiker
214	253	NP	NN	NN	top	mountain	top	mountain
215	253	NP	NN	n	top	top of the mountain	top	top of the mountain
216	253	NP	NN	NN	mountain	hiker	mountain	hiker
217	253	NP	NN	NN	mountain	top	mountain	top
218	253	NP	NN	n	mountain	top of the mountain	mountain	top of the mountain
219	253	VP	VBG	VBG	doing	dancing	do	dance
220	253	NP	NN	NN	dance	hiker	dance	hiker
221	253	NP	NN	NN	dance	top	dance	top
222	253	NP	NN	NN	dance	mountain	dance	mountain
223	253	NP	NN	n	dance	top of the mountain	dance	top of the mountain
224	253	NP	n	NN	top of the mountain	hiker	top of the mountain	hiker
225	253	NP	n	NN	top of the mountain	top	top of the mountain	top
226	253	NP	n	NN	top of the mountain	mountain	top of the mountain	mountain
227	253	NP	n	NN	joyful dance	hiker	joyful dance	hiker
228	253	NP	n	NN	joyful dance	top	joyful dance	top
229	253	NP	n	NN	joyful dance	mountain	joyful dance	mountain
230	253	NP	n	n	joyful dance	top of the mountain	joyful dance	top of the mountain
231	280	NP	NN	NN	boy	ocean	boy	ocean
232	280	NP	NN	n	boy	blue ocean	boy	blue ocean
233	280	VP	VBG	VBG	standing	wading	stand	wade
234	280	NP	NN	NN	water	boy	water	boy
235	280	NP	NN	NN	water	ocean	water	ocean
236	280	NP	NN	n	water	blue ocean	water	blue ocean
237	280	phrasal_IN	pp	pp	outside the water	through the blue ocean	outside the water	through the blue ocean
238	285	phrasal_JJ	JJ	JJ	bald	blonde	bald	blonde
239	285	phrasal_JJ	JJ	JJ	bald	flyaway	bald	flyaway
240	285	NP	NN	NN	person	hair	person	hair
241	285	NP	NN	NN	person	guitar	person	guitar
242	285	NP	NN	n	person	blonde and flyaway hair	person	blonde and flyaway hair
243	285	NP	NN	NN	guitar	person	guitar	person
244	285	NP	NN	NN	guitar	hair	guitar	hair
245	285	NP	NN	n	guitar	blonde and flyaway hair	guitar	blonde and flyaway hair
246	285	NP	n	NN	bald person	person	bald person	person
247	285	NP	n	NN	bald person	hair	bald person	hair
248	285	NP	n	NN	bald person	guitar	bald person	guitar
249	285	NP	n	n	bald person	blonde and flyaway hair	bald person	blonde and flyaway hair
250	304	phrasal_JJ	JJ	JJ	old	young	old	young
251	304	phrasal_JJ	JJ	JJ	old	topless	old	topless
252	304	phrasal_JJ	JJ	JJ	topless	young	topless	young
253	304	NP	NN	NN	woman	paint	woman	paint
254	304	NP	NN	n	woman	young , topless woman	woman	young , topless woman
255	304	NP	NN	NN	paint	woman	paint	woman
256	304	NP	NN	n	paint	young , topless woman	paint	young , topless woman
257	304	NP	n	NN	old , topless woman	woman	old , topless woman	woman
258	304	NP	n	NN	old , topless woman	paint	old , topless woman	paint
259	304	NP	n	n	old , topless woman	young , topless woman	old , topless woman	young , topless woman
260	317	NP	NN	NN	group	crowd	group	crowd
261	317	NP	NN	NNS	group	people	group	people
262	317	NP	NN	NN	group	water	group	water
263	317	NP	NN	n	group	crowd of people	group	crowd of people
264	317	NP	NNS	NN	children	crowd	child	crowd
265	317	NP	NNS	NNS	children	people	child	people
266	317	NP	NNS	NN	children	water	child	water
267	317	NP	NNS	n	children	crowd of people	child	crowd of people
268	317	NP	NNS	NN	uniforms	crowd	uniform	crowd
269	317	NP	NNS	NNS	uniforms	people	uniform	people
270	317	NP	NNS	NN	uniforms	water	uniform	water
271	317	NP	NNS	n	uniforms	crowd of people	uniform	crowd of people
272	317	NP	NN	NN	gate	crowd	gate	crowd
273	317	NP	NN	NNS	gate	people	gate	people
274	317	NP	NN	NN	gate	water	gate	water
275	317	NP	NN	n	gate	crowd of people	gate	crowd of people
276	317	NP	NN	NN	one	crowd	one	crowd
277	317	NP	NN	NNS	one	people	one	people
278	317	NP	NN	NN	one	water	one	water
279	317	NP	NN	n	one	crowd of people	one	crowd of people
280	317	NP	NN	NN	mother	crowd	mother	crowd
281	317	NP	NN	NNS	mother	people	mother	people
282	317	NP	NN	NN	mother	water	mother	water
283	317	NP	NN	n	mother	crowd of people	mother	crowd of people
284	317	NP	n	NN	group of children in uniforms	crowd	group of child in uniform	crowd
285	317	NP	n	NNS	group of children in uniforms	people	group of child in uniform	people
286	317	NP	n	NN	group of children in uniforms	water	group of child in uniform	water
287	317	NP	n	n	group of children in uniforms	crowd of people	group of child in uniform	crowd of people
288	317	NP	n	NN	children in uniforms	crowd	child in uniform	crowd
289	317	NP	n	NNS	children in uniforms	people	child in uniform	people
290	317	NP	n	NN	children in uniforms	water	child in uniform	water
291	317	NP	n	n	children in uniforms	crowd of people	child in uniform	crowd of people
292	317	phrasal_IN	pp	pp	at a gate	near the water	at a gate	near the water
293	317	NP	n	NN	one kissing the mother	crowd	one kiss the mother	crowd
294	317	NP	n	NNS	one kissing the mother	people	one kiss the mother	people
295	317	NP	n	NN	one kissing the mother	water	one kiss the mother	water
296	317	NP	n	n	one kissing the mother	crowd of people	one kiss the mother	crowd of people
297	382	phrasal_JJ	JJ	JJ	brown	white	brown	white
298	382	phrasal_JJ	JJ	JJ	brown	wild	brown	wild
299	382	phrasal_JJ	JJ	JJ	white	brown	white	brown
300	382	phrasal_JJ	JJ	JJ	white	wild	white	wild
301	382	NP	NN	NN	dog	grass	dog	grass
302	382	NP	NN	n	dog	brown and white dog	dog	brown and white dog
303	382	NP	NN	n	dog	wild grass	dog	wild grass
304	382	VP	VBG	VBG	running	moving	run	move
305	382	phrasal_JJ	JJ	JJ	tall	brown	tall	brown
306	382	phrasal_JJ	JJ	JJ	tall	white	tall	white
307	382	phrasal_JJ	JJ	JJ	tall	wild	tall	wild
308	382	NP	NN	NN	grass	dog	grass	dog
309	382	NP	NN	n	grass	brown and white dog	grass	brown and white dog
310	382	NP	NN	n	grass	wild grass	grass	wild grass
311	382	NP	n	NN	brown and white dog	dog	brown and white dog	dog
312	382	NP	n	NN	brown and white dog	grass	brown and white dog	grass
313	382	NP	n	n	brown and white dog	wild grass	brown and white dog	wild grass
314	382	phrasal_IN	(s:dcl\np)\(s:dcl\np)	(s:ng\np)\(s:ng\np)	through the tall grass	through the wild grass	through the tall grass	through the wild grass
315	382	NP	n	NN	tall grass	dog	tall grass	dog
316	382	NP	n	NN	tall grass	grass	tall grass	grass
317	382	NP	n	n	tall grass	brown and white dog	tall grass	brown and white dog
318	382	NP	n	n	tall grass	wild grass	tall grass	wild grass
319	384	phrasal_JJ	JJ	JJ	white	tan	white	tan
320	384	phrasal_JJ	JJ	JJ	tan	white	tan	white
321	384	NP	NN	NN	dog	field	dog	field
322	384	NP	NN	n	dog	white and tan dog	dog	white and tan dog
323	384	phrasal_JJ	JJ	JJ	tall	tan	tall	tan
324	384	phrasal_JJ	JJ	JJ	green	white	green	white
325	384	phrasal_JJ	JJ	JJ	green	tan	green	tan
326	384	NP	NN	NN	grass	field	grass	field
327	384	NP	NN	n	grass	white and tan dog	grass	white and tan dog
328	384	NP	n	NN	white and tan dog	dog	white and tan dog	dog
329	384	NP	n	NN	white and tan dog	field	white and tan dog	field
330	384	NP	n	NN	tall and green grass	dog	tall and green grass	dog
331	384	NP	n	NN	tall and green grass	field	tall and green grass	field
332	384	NP	n	n	tall and green grass	white and tan dog	tall and green grass	white and tan dog
333	394	NP	NN	NN	man	bike	man	bike
334	394	NP	NN	NN	man	piece	man	piece
335	394	NP	NN	NN	man	paper	man	paper
336	394	NP	NN	n	man	piece paper	man	piece paper
337	394	VP	VBG	VBG	sitting	standing	sit	stand
338	394	VP	VBG	VBG	sitting	writing	sit	write
339	394	NP	NN	NN	bike	man	bike	man
340	394	NP	NN	NN	bike	piece	bike	piece
341	394	NP	NN	NN	bike	paper	bike	paper
342	394	NP	NN	n	bike	piece paper	bike	piece paper
343	394	VP	VBG	VBG	writing	standing	write	stand
344	394	NP	NN	NN	note	man	note	man
345	394	NP	NN	NN	note	bike	note	bike
346	394	NP	NN	NN	note	piece	note	piece
347	394	NP	NN	NN	note	paper	note	paper
348	394	NP	NN	n	note	piece paper	note	piece paper
349	394	phrasal_IN	(s:dcl\np)\(s:dcl\np)	pp	near a bike	on a piece paper	near a bike	on a piece paper
350	402	NP	NN	NNS	group	explorers	group	explorer
351	402	NP	NN	NN	group	grass	group	grass
352	402	NP	NN	n	group	group of explorers	group	group of explorer
353	402	NP	NNS	NN	scouts	group	scout	group
354	402	NP	NNS	NNS	scouts	explorers	scout	explorer
355	402	NP	NNS	NN	scouts	grass	scout	grass
356	402	NP	NNS	n	scouts	group of explorers	scout	group of explorer
357	402	VP	VBG	VBG	hiking	walking	hike	walk
358	402	NP	NN	NN	grass	group	grass	group
359	402	NP	NN	NNS	grass	explorers	grass	explorer
360	402	NP	NN	n	grass	group of explorers	grass	group of explorer
361	402	NP	n	NN	group of scouts	group	group of scout	group
362	402	NP	n	NNS	group of scouts	explorers	group of scout	explorer
363	402	NP	n	NN	group of scouts	grass	group of scout	grass
364	402	NP	n	n	group of scouts	group of explorers	group of scout	group of explorer
365	417	NP	NNS	NNS	men	cars	man	car
366	417	NP	NNS	NN	men	side	man	side
367	417	NP	NNS	NN	men	road	man	road
368	417	NP	NNS	n	men	Two men with cars	man	two man with car
369	417	NP	NNS	n	men	side of a snowy road	man	side of a snowy road
370	417	NP	NNS	n	men	snowy road	man	snowy road
371	417	NP	NN	NNS	break	men	break	man
372	417	NP	NN	NNS	break	cars	break	car
373	417	NP	NN	NN	break	side	break	side
374	417	NP	NN	NN	break	road	break	road
375	417	NP	NN	n	break	Two men with cars	break	two man with car
376	417	NP	NN	n	break	side of a snowy road	break	side of a snowy road
377	417	NP	NN	n	break	snowy road	break	snowy road
378	417	NP	NN	NNS	trip	men	trip	man
379	417	NP	NN	NNS	trip	cars	trip	car
380	417	NP	NN	NN	trip	side	trip	side
381	417	NP	NN	NN	trip	road	trip	road
382	417	NP	NN	n	trip	Two men with cars	trip	two man with car
383	417	NP	NN	n	trip	side of a snowy road	trip	side of a snowy road
384	417	NP	NN	n	trip	snowy road	trip	snowy road
385	417	NP	NN	NNS	road	men	road	man
386	417	NP	NN	NNS	road	cars	road	car
387	417	NP	NN	NN	road	side	road	side
388	417	NP	NN	n	road	Two men with cars	road	two man with car
389	417	NP	NN	n	road	side of a snowy road	road	side of a snowy road
390	417	NP	NN	n	road	snowy road	road	snowy road
391	417	NP	n	NNS	Two men	men	two man	man
392	417	NP	n	NNS	Two men	cars	two man	car
393	417	NP	n	NN	Two men	side	two man	side
394	417	NP	n	NN	Two men	road	two man	road
395	417	NP	n	n	Two men	Two men with cars	two man	two man with car
396	417	NP	n	n	Two men	side of a snowy road	two man	side of a snowy road
397	417	NP	n	n	Two men	snowy road	two man	snowy road
398	417	NP	n	NNS	snowy road	men	snowy road	man
399	417	NP	n	NNS	snowy road	cars	snowy road	car
400	417	NP	n	NN	snowy road	side	snowy road	side
401	417	NP	n	NN	snowy road	road	snowy road	road
402	417	NP	n	n	snowy road	Two men with cars	snowy road	two man with car
403	417	NP	n	n	snowy road	side of a snowy road	snowy road	side of a snowy road
404	450	NP	NN	NN	lady	girl	lady	girl
405	450	NP	NN	NNS	lady	waves	lady	wave
406	450	NP	NN	n	lady	blond girl	lady	blond girl
407	450	VP	VBG	VBG	surfing	looking	surf	look
408	450	VP	VBG	VBG	riding	looking	ride	look
409	450	NP	NN	NN	wave	girl	wave	girl
410	450	NP	NN	NNS	wave	waves	wave	wave
411	450	NP	NN	n	wave	blond girl	wave	blond girl
412	520	NP	NN	NNP	woman	Pink	woman	Pink
413	520	NP	NN	NNS	woman	bellbottoms	woman	bellbottom
414	520	NP	NN	NN	woman	scarf	woman	scarf
415	520	NP	NN	NNS	woman	women	woman	woman
416	520	NP	NN	NNS	woman	pants	woman	pants
417	520	NP	NN	NN	woman	bike	woman	bike
418	520	NP	NN	NN	woman	riding	woman	riding
419	520	NP	NN	NNS	woman	people	woman	people
420	520	NP	NN	n	woman	Pink bellbottoms	woman	Pink bellbottom
421	520	NP	NN	n	woman	pink scarf	woman	pink scarf
422	520	NP	NN	n	woman	silver pants	woman	silver pants
423	520	NP	NN	n	woman	bike riding people	woman	bike riding people
424	520	VP	VBG	VBN	wearing	worn	wear	wear
425	520	NP	NN	NNP	silver	Pink	silver	Pink
426	520	NP	NN	NNS	silver	bellbottoms	silver	bellbottom
427	520	NP	NN	NN	silver	scarf	silver	scarf
428	520	NP	NN	NNS	silver	women	silver	woman
429	520	NP	NN	NNS	silver	pants	silver	pants
430	520	NP	NN	NN	silver	bike	silver	bike
431	520	NP	NN	NN	silver	riding	silver	riding
432	520	NP	NN	NNS	silver	people	silver	people
433	520	NP	NN	n	silver	Pink bellbottoms	silver	Pink bellbottom
434	520	NP	NN	n	silver	pink scarf	silver	pink scarf
435	520	NP	NN	n	silver	silver pants	silver	silver pants
436	520	NP	NN	n	silver	bike riding people	silver	bike riding people
437	520	NP	NNS	NNP	pants	Pink	pants	Pink
438	520	NP	NNS	NNS	pants	bellbottoms	pants	bellbottom
439	520	NP	NNS	NN	pants	scarf	pants	scarf
440	520	NP	NNS	NNS	pants	women	pants	woman
441	520	NP	NNS	NN	pants	bike	pants	bike
442	520	NP	NNS	NN	pants	riding	pants	riding
443	520	NP	NNS	NNS	pants	people	pants	people
444	520	NP	NNS	n	pants	Pink bellbottoms	pants	Pink bellbottom
445	520	NP	NNS	n	pants	pink scarf	pants	pink scarf
446	520	NP	NNS	n	pants	silver pants	pants	silver pants
447	520	NP	NNS	n	pants	bike riding people	pants	bike riding people
448	520	phrasal_JJ	JJ	JJ	pink	silver	pink	silver
449	520	NP	NNS	NNP	bellbottoms	Pink	bellbottom	Pink
450	520	NP	NNS	NN	bellbottoms	scarf	bellbottom	scarf
451	520	NP	NNS	NNS	bellbottoms	women	bellbottom	woman
452	520	NP	NNS	NNS	bellbottoms	pants	bellbottom	pants
453	520	NP	NNS	NN	bellbottoms	bike	bellbottom	bike
454	520	NP	NNS	NN	bellbottoms	riding	bellbottom	riding
455	520	NP	NNS	NNS	bellbottoms	people	bellbottom	people
456	520	NP	NNS	n	bellbottoms	Pink bellbottoms	bellbottom	Pink bellbottom
457	520	NP	NNS	n	bellbottoms	pink scarf	bellbottom	pink scarf
458	520	NP	NNS	n	bellbottoms	silver pants	bellbottom	silver pants
459	520	NP	NNS	n	bellbottoms	bike riding people	bellbottom	bike riding people
460	520	NP	NN	NNP	scarf	Pink	scarf	Pink
461	520	NP	NN	NNS	scarf	bellbottoms	scarf	bellbottom
462	520	NP	NN	NNS	scarf	women	scarf	woman
463	520	NP	NN	NNS	scarf	pants	scarf	pants
464	520	NP	NN	NN	scarf	bike	scarf	bike
465	520	NP	NN	NN	scarf	riding	scarf	riding
466	520	NP	NN	NNS	scarf	people	scarf	people
467	520	NP	NN	n	scarf	Pink bellbottoms	scarf	Pink bellbottom
468	520	NP	NN	n	scarf	pink scarf	scarf	pink scarf
469	520	NP	NN	n	scarf	silver pants	scarf	silver pants
470	520	NP	NN	n	scarf	bike riding people	scarf	bike riding people
471	520	VP	VBG	VBN	riding	worn	ride	wear
472	520	NP	NN	NNP	bike	Pink	bike	Pink
473	520	NP	NN	NNS	bike	bellbottoms	bike	bellbottom
474	520	NP	NN	NN	bike	scarf	bike	scarf
